Time	Symbol	MarketMode	State	TradeUUID	Event	StartAdjusted	ImpulseATR	StartPrice	EndPrice	BandLower	BandUpper	TouchCount	FreezeCancelCount	ConfirmType	EntryType	EntryPrice	SL	TP	SpreadPts	SlippagePts	FillDeviationPts	Result	RejectReason	Extra
2026.03.10 09:06:01	BTCUSD#	CRYPTO	IMPULSE_FOUND	20260310090600_BTCUSD#_01	LOG_STATE	false	46.57	69849.60	69985.20	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	2250.0	0.0	0.0			reason=ImpulseDetected
2026.03.10 09:06:01	BTCUSD#	CRYPTO	IMPULSE_FOUND	20260310090600_BTCUSD#_01	LOG_IMPULSE	false	46.57	69849.60	69985.20	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	2250.0	0.0	0.0			dir=LONG
2026.03.10 09:09:01	BTCUSD#	CRYPTO	IMPULSE_CONFIRMED	20260310090600_BTCUSD#_01	LOG_STATE	false	73.49	69849.60	70259.40	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	2250.0	0.0	0.0			reason=FreezeEstablished
2026.03.10 09:09:01	BTCUSD#	CRYPTO	IMPULSE_CONFIRMED	20260310090600_BTCUSD#_01	LOG_IMPULSE	false	73.49	69849.60	70259.40	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	2250.0	0.0	0.0			Frozen100=70259.40
2026.03.10 09:09:01	BTCUSD#	CRYPTO	MA_PULLBACK_WAIT	20260310090600_BTCUSD#_01	LOG_STATE	false	73.74	69849.60	70259.40	69875.42	70005.33	0	0	NONE	NONE	0.00	0.00	0.00	2250.0	0.0	0.0			reason=MABounceSetup
2026.03.10 09:10:00	BTCUSD#	CRYPTO	MA_PULLBACK_WAIT	20260310090600_BTCUSD#_01	LOG_CONFIRM	false	76.71	69849.60	70259.40	69889.73	70045.57	1	0	CloseBounce	NONE	0.00	0.00	0.00	2250.0	0.0	0.0		MABounceConfirm	ConfirmType=CloseBounce;MA=69967.65;BandWidth=77.92
2026.03.10 09:10:01	BTCUSD#	CRYPTO	MA_PULLBACK_WAIT	20260310090600_BTCUSD#_01	LOG_EXIT	false	77.01	69849.60	70259.40	69889.73	70045.57	1	0	CloseBounce	LIMIT	70155.10	69795.90	0.00	2250.0	0.0	0.0	FillDeviationExceeded		closePrice=70127.10
2026.03.10 09:10:01	BTCUSD#	CRYPTO	MA_PULLBACK_WAIT	20260310090600_BTCUSD#_01	LOG_REJECT	false	77.01	69849.60	70259.40	69889.73	70045.57	1	0	CloseBounce	LIMIT	70155.10	69795.90	0.00	2250.0	0.0	0.0		FillDeviationExceeded	deviation=560.0
2026.03.10 09:10:01	BTCUSD#	CRYPTO	IDLE	20260310090600_BTCUSD#_01	LOG_STATE	false	77.01	69849.60	70259.40	69889.73	70045.57	1	0	CloseBounce	LIMIT	70155.10	69795.90	0.00	2250.0	0.0	0.0			reason=EntryRejected
2026.03.10 09:11:00	BTCUSD#	CRYPTO	IMPULSE_FOUND	20260310091100_BTCUSD#_01	LOG_STATE	true	95.24	70099.40	70422.80	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	2250.0	0.0	0.0			reason=ImpulseDetected
2026.03.10 09:11:00	BTCUSD#	CRYPTO	IMPULSE_FOUND	20260310091100_BTCUSD#_01	LOG_IMPULSE	true	95.24	70099.40	70422.80	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	2250.0	0.0	0.0			dir=LONG
2026.03.10 09:12:01	BTCUSD#	CRYPTO	IMPULSE_CONFIRMED	20260310091100_BTCUSD#_01	LOG_STATE	true	100.65	70099.40	70422.80	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	2250.0	0.0	0.0			reason=FreezeEstablished
2026.03.10 09:12:01	BTCUSD#	CRYPTO	IMPULSE_CONFIRMED	20260310091100_BTCUSD#_01	LOG_IMPULSE	true	100.65	70099.40	70422.80	0.00	0.00	0	0	NONE	NONE	0.00	0.00	0.00	2250.0	0.0	0.0			Frozen100=70422.80
2026.03.10 09:12:02	BTCUSD#	CRYPTO	MA_PULLBACK_WAIT	20260310091100_BTCUSD#_01	LOG_STATE	true	101.62	70099.40	70422.80	69889.73	70045.57	0	0	NONE	NONE	0.00	0.00	0.00	2250.0	0.0	0.0			reason=MABounceSetup
2026.03.10 09:13:01	BTCUSD#	CRYPTO	MA_PULLBACK_WAIT	20260310091100_BTCUSD#_01	LOG_CONFIRM	true	97.12	70099.40	70422.80	69889.73	70045.57	1	0	CloseBounce	NONE	0.00	0.00	0.00	2250.0	0.0	0.0		MABounceConfirm	ConfirmType=CloseBounce;MA=69967.65;BandWidth=77.92
2026.03.10 09:13:02	BTCUSD#	CRYPTO	MA_PULLBACK_WAIT	20260310091100_BTCUSD#_01	LOG_EXIT	true	98.34	70099.40	70422.80	69889.73	70045.57	1	0	CloseBounce	LIMIT	70314.90	70031.41	0.00	2250.0	0.0	0.0	FillDeviationExceeded		closePrice=70292.40
2026.03.10 09:13:02	BTCUSD#	CRYPTO	MA_PULLBACK_WAIT	20260310091100_BTCUSD#_01	LOG_REJECT	true	98.34	70099.40	70422.80	69889.73	70045.57	1	0	CloseBounce	LIMIT	70314.90	70031.41	0.00	2250.0	0.0	0.0		FillDeviationExceeded	deviation=1710.0
2026.03.10 09:13:02	BTCUSD#	CRYPTO	IDLE	20260310091100_BTCUSD#_01	LOG_STATE	true	98.34	70099.40	70422.80	69889.73	70045.57	1	0	CloseBounce	LIMIT	70314.90	70031.41	0.00	2250.0	0.0	0.0			reason=EntryRejected
