<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.02	00:00:00	76516.20	76618.70	76448.80	76483.90	171	0	2250
2026.02.02	00:01:00	76491.60	76572.30	76469.90	76483.90	124	0	2250
2026.02.02	00:02:00	76480.20	76753.30	76442.50	76736.40	152	0	2250
2026.02.02	00:03:00	76743.60	76836.70	76687.30	76816.20	151	0	2250
2026.02.02	00:04:00	76812.80	76896.20	76801.30	76888.60	101	0	2250
2026.02.02	00:05:00	76891.60	76956.70	76841.60	76904.30	129	0	2250
2026.02.02	00:06:00	76895.20	76923.60	76846.20	76900.60	92	0	2250
2026.02.02	00:07:00	76910.80	76998.40	76879.70	76989.20	76	0	2250
2026.02.02	00:08:00	76992.90	77099.10	76952.70	77053.70	123	0	2250
2026.02.02	00:09:00	77051.00	77200.50	77025.10	77182.70	147	0	2250
2026.02.02	00:10:00	77189.60	77311.60	77144.80	77307.80	144	0	2250
2026.02.02	00:11:00	77317.50	77510.50	77296.70	77485.00	198	0	2250
2026.02.02	00:12:00	77471.40	77672.80	77449.90	77627.00	188	0	2250
2026.02.02	00:13:00	77631.00	77782.80	77473.30	77484.60	180	0	2250
2026.02.02	00:14:00	77490.55	77512.00	77427.50	77480.70	90	0	2250
2026.02.02	00:15:00	77489.80	77490.30	77331.40	77331.40	153	0	2250
2026.02.02	00:16:00	77329.50	77380.20	77297.80	77345.50	99	0	2250
2026.02.02	00:17:00	77347.90	77421.50	77257.40	77329.60	105	0	2250
2026.02.02	00:18:00	77334.10	77341.20	77292.80	77305.00	63	0	2250
2026.02.02	00:19:00	77310.90	77386.70	77310.90	77344.70	66	0	2250
2026.02.02	00:20:00	77344.70	77355.00	77224.90	77265.90	84	0	2250
2026.02.02	00:21:00	77268.00	77287.80	77218.30	77218.30	39	0	2250
2026.02.02	00:22:00	77220.30	77254.10	77061.30	77062.50	71	0	2250
2026.02.02	00:23:00	77048.80	77081.30	76808.80	76820.00	91	0	2250
2026.02.02	00:24:00	76835.30	76884.90	76694.40	76737.90	123	0	2250
2026.02.02	00:25:00	76743.30	76871.60	76725.60	76757.20	138	0	2250
2026.02.02	00:26:00	76759.40	76818.60	76733.55	76772.00	75	0	2250
2026.02.02	00:27:00	76776.30	77035.60	76749.80	77018.60	145	0	2250
2026.02.02	00:28:00	77025.80	77138.70	76982.00	77078.40	128	0	2250
2026.02.02	00:29:00	77083.30	77188.70	77083.30	77185.70	79	0	2250
2026.02.02	00:30:00	77180.80	77216.30	77126.00	77146.90	92	0	2250
2026.02.02	00:31:00	77150.20	77321.10	77150.20	77257.70	113	0	2250
2026.02.02	00:32:00	77260.75	77338.50	77234.90	77310.00	93	0	2250
2026.02.02	00:33:00	77305.50	77356.50	77261.00	77306.20	63	0	2250
2026.02.02	00:34:00	77305.25	77416.90	77268.40	77387.30	75	0	2250
2026.02.02	00:35:00	77389.10	77476.00	77362.60	77362.60	97	0	2250
2026.02.02	00:36:00	77368.90	77419.70	77294.20	77320.50	64	0	2250
2026.02.02	00:37:00	77319.95	77431.20	77256.30	77408.80	90	0	2250
2026.02.02	00:38:00	77407.10	77579.80	77400.50	77556.70	117	0	2250
2026.02.02	00:39:00	77555.50	77610.50	77515.20	77553.90	88	0	2250
2026.02.02	00:40:00	77544.10	77544.10	77441.30	77448.00	60	0	2250
2026.02.02	00:41:00	77447.55	77447.55	77379.50	77392.80	47	0	2250
2026.02.02	00:42:00	77392.80	77551.90	77392.80	77490.90	63	0	2250
2026.02.02	00:43:00	77490.90	77534.60	77460.50	77504.10	57	0	2250
2026.02.02	00:44:00	77504.10	77504.10	77431.40	77452.50	43	0	2250
2026.02.02	00:45:00	77441.00	77528.40	77437.00	77514.30	42	0	2250
2026.02.02	00:46:00	77514.30	77541.70	77485.50	77501.00	49	0	2250
2026.02.02	00:47:00	77496.60	77496.60	77342.50	77387.80	72	0	2250
2026.02.02	00:48:00	77385.10	77385.10	77294.10	77342.50	59	0	2250
2026.02.02	00:49:00	77339.10	77339.10	77228.80	77247.90	55	0	2250
2026.02.02	00:50:00	77249.50	77442.00	77249.50	77441.80	77	0	2250
2026.02.02	00:51:00	77432.70	77432.70	77289.90	77300.20	48	0	2250
2026.02.02	00:52:00	77303.40	77326.80	77157.50	77161.90	63	0	2250
2026.02.02	00:53:00	77159.80	77228.70	77154.60	77228.70	64	0	2250
2026.02.02	00:54:00	77231.90	77267.70	77208.80	77208.80	35	0	2250
2026.02.02	00:55:00	77203.30	77216.90	77164.70	77202.20	40	0	2250
2026.02.02	00:56:00	77205.35	77338.90	77205.35	77338.90	56	0	2250
2026.02.02	00:57:00	77338.85	77342.90	77311.50	77311.50	28	0	2250
2026.02.02	00:58:00	77311.50	77375.80	77272.90	77312.30	61	0	2250
2026.02.02	00:59:00	77309.90	77347.00	77210.30	77240.90	80	0	2250
2026.02.02	01:00:00	77238.85	77338.50	77128.80	77172.90	198	0	2250
2026.02.02	01:01:00	77175.20	77178.60	76982.40	77064.50	117	0	2250
2026.02.02	01:02:00	77061.30	77061.30	76944.90	77001.80	116	0	2250
2026.02.02	01:03:00	76993.30	77041.00	76965.00	76992.80	68	0	2250
2026.02.02	01:04:00	77005.25	77128.40	77005.25	77065.20	103	0	2250
2026.02.02	01:05:00	77057.80	77080.60	76576.70	76589.30	184	0	2250
2026.02.02	01:06:00	76602.30	76664.00	76124.00	76217.50	341	0	2250
2026.02.02	01:07:00	76205.60	76275.10	76017.50	76153.60	339	0	2250
2026.02.02	01:08:00	76158.20	76290.20	75844.85	76004.70	295	0	2250
2026.02.02	01:09:00	76013.80	76038.00	75709.70	75995.20	286	0	2250
2026.02.02	01:10:00	76009.50	76153.90	75747.20	75805.10	304	0	2250
2026.02.02	01:11:00	75817.40	76123.90	75697.80	76015.00	322	0	2250
2026.02.02	01:12:00	76006.20	76522.00	75994.90	76522.00	317	0	2250
2026.02.02	01:13:00	76525.00	76860.10	76495.60	76747.30	326	0	2250
2026.02.02	01:14:00	76747.20	76793.70	76606.50	76635.60	275	0	2250
2026.02.02	01:15:00	76623.10	76752.40	76413.10	76465.60	292	0	2250
2026.02.02	01:16:00	76468.50	76576.70	76371.60	76412.30	240	0	2250
2026.02.02	01:17:00	76415.00	76863.70	76415.00	76692.20	272	0	2250
2026.02.02	01:18:00	76688.80	76703.30	76410.80	76433.30	192	0	2250
2026.02.02	01:19:00	76437.70	76549.80	76223.90	76285.90	202	0	2250
2026.02.02	01:20:00	76274.60	76378.70	76243.60	76301.80	176	0	2250
2026.02.02	01:21:00	76305.90	76305.90	76151.30	76258.20	191	0	2250
2026.02.02	01:22:00	76256.00	76426.00	76190.10	76426.00	210	0	2250
2026.02.02	01:23:00	76417.80	76682.80	76356.10	76660.90	225	0	2250
2026.02.02	01:24:00	76655.70	76691.20	76497.10	76588.00	185	0	2250
2026.02.02	01:25:00	76594.30	76978.70	76594.30	76968.50	303	0	2250
2026.02.02	01:26:00	76970.40	77013.20	76799.30	76879.60	198	0	2250
2026.02.02	01:27:00	76880.50	76945.90	76729.85	76776.40	172	0	2250
2026.02.02	01:28:00	76775.95	76817.60	76599.00	76680.50	190	0	2250
2026.02.02	01:29:00	76684.80	76911.60	76684.80	76798.60	150	0	2250
2026.02.02	01:30:00	76787.70	76829.50	76710.00	76788.90	130	0	2250
2026.02.02	01:31:00	76796.50	76898.70	76770.00	76858.40	117	0	2250
2026.02.02	01:32:00	76858.80	77007.80	76858.80	76990.80	146	0	2250
2026.02.02	01:33:00	77001.90	77244.80	76966.30	77234.00	175	0	2250
2026.02.02	01:34:00	77231.75	77302.60	77140.70	77280.80	180	0	2250
2026.02.02	01:35:00	77281.60	77308.70	77215.30	77308.70	128	0	2250
2026.02.02	01:36:00	77299.60	77613.60	77299.60	77436.30	186	0	2250
2026.02.02	01:37:00	77439.50	77483.50	77336.60	77465.20	164	0	2250
2026.02.02	01:38:00	77472.80	77518.70	77307.00	77311.20	138	0	2250
2026.02.02	01:39:00	77304.10	77335.30	77212.60	77322.10	109	0	2250
2026.02.02	01:40:00	77320.80	77320.80	77172.90	77172.90	103	0	2250
2026.02.02	01:41:00	77175.20	77235.60	77151.20	77174.30	77	0	2250
2026.02.02	01:42:00	77168.50	77259.50	77151.20	77217.90	90	0	2250
2026.02.02	01:43:00	77218.70	77288.40	77193.80	77273.50	55	0	2250
2026.02.02	01:44:00	77277.90	77361.70	77277.90	77324.60	73	0	2250
2026.02.02	01:45:00	77320.80	77331.50	77176.80	77176.80	112	0	2250
2026.02.02	01:46:00	77180.60	77254.10	77085.50	77219.60	138	0	2250
2026.02.02	01:47:00	77208.70	77224.60	77038.10	77038.10	101	0	2250
2026.02.02	01:48:00	77041.70	77052.20	76968.80	76970.10	120	0	2250
2026.02.02	01:49:00	76968.80	77000.60	76956.80	76972.40	86	0	2250
2026.02.02	01:50:00	76978.10	77015.70	76945.50	76983.50	80	0	2250
2026.02.02	01:51:00	76984.90	77039.60	76946.30	76946.30	91	0	2250
2026.02.02	01:52:00	76944.40	76982.65	76874.40	76952.20	93	0	2250
2026.02.02	01:53:00	76960.00	77213.20	76960.00	77213.20	118	0	2250
2026.02.02	01:54:00	77213.10	77213.10	76948.40	76964.10	101	0	2250
2026.02.02	01:55:00	76962.60	77084.60	76951.70	76972.90	102	0	2250
2026.02.02	01:56:00	76977.30	77012.70	76921.80	77005.20	105	0	2250
2026.02.02	01:57:00	77012.10	77144.70	77012.10	77124.10	94	0	2250
2026.02.02	01:58:00	77114.90	77138.60	77025.30	77029.40	52	0	2250
2026.02.02	01:59:00	77027.40	77027.40	76936.30	76966.30	62	0	2250
2026.02.02	02:00:00	76967.25	77082.90	76953.10	76953.10	130	0	2250
2026.02.02	02:01:00	76953.30	76998.40	76728.80	76773.30	166	0	2250
2026.02.02	02:02:00	76773.10	77038.20	76768.60	76838.90	183	0	2250
2026.02.02	02:03:00	76835.30	76872.10	76602.20	76608.70	212	0	2250
2026.02.02	02:04:00	76614.70	76831.40	76614.70	76804.50	198	0	2250
2026.02.02	02:05:00	76795.10	76996.20	76776.00	76944.00	209	0	2250
2026.02.02	02:06:00	76948.30	77198.50	76923.90	77194.80	171	0	2250
2026.02.02	02:07:00	77184.10	77294.90	77168.70	77222.80	160	0	2250
2026.02.02	02:08:00	77222.80	77478.70	77173.00	77466.60	186	0	2250
2026.02.02	02:09:00	77460.30	77482.30	77347.00	77439.00	162	0	2250
2026.02.02	02:10:00	77432.50	77494.10	77415.30	77466.80	124	0	2250
2026.02.02	02:11:00	77470.60	77518.70	77393.00	77518.10	104	0	2250
2026.02.02	02:12:00	77512.10	77524.70	77383.70	77492.55	133	0	2250
2026.02.02	02:13:00	77488.20	77645.30	77447.40	77632.60	155	0	2250
2026.02.02	02:14:00	77637.75	77707.80	77528.80	77542.80	165	0	2250
2026.02.02	02:15:00	77544.30	77722.10	77492.10	77666.80	193	0	2250
2026.02.02	02:16:00	77660.30	77915.70	77627.20	77781.80	199	0	2250
2026.02.02	02:17:00	77796.90	77945.20	77792.70	77915.70	182	0	2250
2026.02.02	02:18:00	77913.85	77923.50	77660.60	77661.50	171	0	2250
2026.02.02	02:19:00	77673.60	77872.80	77673.60	77813.00	174	0	2250
2026.02.02	02:20:00	77822.10	77907.70	77766.60	77812.90	158	0	2250
2026.02.02	02:21:00	77820.20	77918.70	77779.50	77839.60	119	0	2250
2026.02.02	02:22:00	77832.20	78025.30	77783.10	78018.90	125	0	2250
2026.02.02	02:23:00	78025.20	78029.40	77889.80	77997.80	149	0	2250
2026.02.02	02:24:00	77993.10	78018.40	77898.20	77954.10	133	0	2250
2026.02.02	02:25:00	77946.40	78007.00	77767.20	77800.80	149	0	2250
2026.02.02	02:26:00	77804.00	77872.80	77762.00	77866.80	137	0	2250
2026.02.02	02:27:00	77862.00	78084.70	77856.40	77966.70	120	0	2250
2026.02.02	02:28:00	77972.60	78007.00	77852.80	77960.00	113	0	2250
2026.02.02	02:29:00	77954.00	77991.00	77892.90	77936.70	91	0	2250
2026.02.02	02:30:00	77927.40	78022.80	77881.90	78022.80	142	0	2250
2026.02.02	02:31:00	78016.30	78032.30	77884.80	77992.30	136	0	2250
2026.02.02	02:32:00	77987.10	78121.90	77814.50	77828.80	164	0	2250
2026.02.02	02:33:00	77837.90	77860.90	77758.80	77816.10	141	0	2250
2026.02.02	02:34:00	77813.20	77880.40	77739.80	77864.80	127	0	2250
2026.02.02	02:35:00	77864.50	77978.10	77813.90	77976.70	146	0	2250
2026.02.02	02:36:00	77984.10	78013.20	77916.30	78010.90	118	0	2250
2026.02.02	02:37:00	78011.50	78051.10	77906.30	77913.70	148	0	2250
2026.02.02	02:38:00	77919.20	78146.50	77888.80	78106.80	137	0	2250
2026.02.02	02:39:00	78102.90	78114.50	77849.10	77855.90	134	0	2250
2026.02.02	02:40:00	77858.60	77907.90	77833.50	77833.50	110	0	2250
2026.02.02	02:41:00	77833.50	77888.30	77828.80	77879.40	84	0	2250
2026.02.02	02:42:00	77886.60	77972.80	77886.60	77947.90	98	0	2250
2026.02.02	02:43:00	77940.60	77970.30	77845.90	77885.50	109	0	2250
2026.02.02	02:44:00	77888.80	77915.70	77838.60	77860.60	104	0	2250
2026.02.02	02:45:00	77864.70	77930.50	77818.60	77824.20	117	0	2250
2026.02.02	02:46:00	77818.60	77937.10	77802.50	77931.00	115	0	2250
2026.02.02	02:47:00	77934.10	77972.80	77786.10	77790.30	113	0	2250
2026.02.02	02:48:00	77796.90	77796.90	77731.20	77749.70	99	0	2250
2026.02.02	02:49:00	77754.00	77817.80	77754.00	77798.80	96	0	2250
2026.02.02	02:50:00	77803.50	77868.90	77767.80	77791.60	83	0	2250
2026.02.02	02:51:00	77789.70	77915.70	77789.70	77882.70	79	0	2250
2026.02.02	02:52:00	77880.30	77895.30	77791.45	77791.45	76	0	2250
