<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.02	01:00:00	4805.11	4807.22	4763.17	4783.32	277	0	16
2026.02.02	01:01:00	4783.22	4810.65	4777.57	4808.52	384	0	16
2026.02.02	01:02:00	4807.87	4848.66	4806.27	4848.66	411	0	55
2026.02.02	01:03:00	4851.80	4868.89	4833.22	4836.55	366	0	21
2026.02.02	01:04:00	4834.03	4841.02	4827.83	4829.23	423	0	200
2026.02.02	01:05:00	4829.19	4829.19	4812.65	4818.97	446	0	131
2026.02.02	01:06:00	4818.80	4821.70	4813.20	4817.95	428	0	200
2026.02.02	01:07:00	4817.41	4822.37	4809.17	4822.07	444	0	81
2026.02.02	01:08:00	4822.11	4823.66	4818.81	4821.10	342	0	200
2026.02.02	01:09:00	4821.08	4822.37	4813.01	4814.69	373	0	186
2026.02.02	01:10:00	4814.70	4818.51	4757.55	4759.04	340	0	17
2026.02.02	01:11:00	4752.46	4777.86	4711.67	4715.87	219	0	132
2026.02.02	01:12:00	4713.12	4761.12	4712.52	4755.05	304	0	200
2026.02.02	01:13:00	4756.59	4775.86	4756.59	4765.17	429	0	193
2026.02.02	01:14:00	4765.09	4769.55	4738.72	4740.88	415	0	200
2026.02.02	01:15:00	4740.87	4757.37	4726.01	4735.08	417	0	200
2026.02.02	01:16:00	4733.68	4742.25	4728.61	4730.84	436	0	200
2026.02.02	01:17:00	4730.92	4734.37	4726.12	4729.33	385	0	200
2026.02.02	01:18:00	4728.21	4729.49	4696.75	4700.09	511	0	97
2026.02.02	01:19:00	4700.29	4724.74	4700.29	4714.93	405	0	16
2026.02.02	01:20:00	4715.17	4725.50	4711.55	4725.26	399	0	200
2026.02.02	01:21:00	4725.28	4731.15	4717.30	4726.30	474	0	200
2026.02.02	01:22:00	4726.41	4731.66	4723.50	4727.04	499	0	200
2026.02.02	01:23:00	4726.98	4741.86	4725.63	4741.01	441	0	200
2026.02.02	01:24:00	4739.90	4741.40	4717.09	4720.45	363	0	171
2026.02.02	01:25:00	4720.60	4735.93	4714.48	4733.00	455	0	34
2026.02.02	01:26:00	4732.98	4739.80	4727.04	4738.99	389	0	65
2026.02.02	01:27:00	4739.04	4739.80	4720.34	4723.39	473	0	158
2026.02.02	01:28:00	4723.88	4731.26	4716.14	4725.95	349	0	200
2026.02.02	01:29:00	4726.03	4731.55	4724.39	4726.34	339	0	200
2026.02.02	01:30:00	4726.03	4730.26	4717.62	4719.22	380	0	40
2026.02.02	01:31:00	4719.21	4723.93	4714.19	4723.24	345	0	200
2026.02.02	01:32:00	4723.21	4736.93	4722.63	4733.02	439	0	24
2026.02.02	01:33:00	4733.07	4735.40	4726.88	4732.55	402	0	23
2026.02.02	01:34:00	4732.57	4746.94	4732.53	4746.79	356	0	40
2026.02.02	01:35:00	4746.72	4756.86	4743.19	4756.59	434	0	40
2026.02.02	01:36:00	4755.90	4758.75	4747.93	4753.88	468	0	40
2026.02.02	01:37:00	4753.71	4767.61	4753.01	4763.13	512	0	40
2026.02.02	01:38:00	4763.26	4779.99	4763.26	4776.81	498	0	40
2026.02.02	01:39:00	4776.50	4780.89	4770.64	4776.72	452	0	40
2026.02.02	01:40:00	4776.83	4788.02	4774.46	4781.53	447	0	40
2026.02.02	01:41:00	4783.13	4783.13	4770.41	4772.70	500	0	16
2026.02.02	01:42:00	4772.50	4780.07	4768.97	4774.78	477	0	16
2026.02.02	01:43:00	4774.84	4779.44	4769.98	4772.62	366	0	40
2026.02.02	01:44:00	4772.54	4777.94	4769.96	4774.74	360	0	40
2026.02.02	01:45:00	4774.70	4778.40	4729.04	4745.32	452	0	40
2026.02.02	01:46:00	4747.30	4756.42	4732.42	4749.20	453	0	40
2026.02.02	01:47:00	4749.65	4749.65	4722.30	4733.90	490	0	40
2026.02.02	01:48:00	4735.00	4736.40	4726.38	4731.38	381	0	40
2026.02.02	01:49:00	4731.65	4751.10	4731.65	4747.42	350	0	40
2026.02.02	01:50:00	4747.57	4768.67	4747.57	4760.26	450	0	40
2026.02.02	01:51:00	4760.44	4764.30	4738.84	4743.28	511	0	23
2026.02.02	01:52:00	4743.33	4761.77	4743.20	4755.24	471	0	24
2026.02.02	01:53:00	4755.08	4758.03	4740.10	4741.61	526	0	23
2026.02.02	01:54:00	4741.77	4758.40	4741.10	4751.02	481	0	24
