<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.02	00:00:00	154.793	154.877	154.775	154.877	8	0	149
2026.02.02	00:01:00	154.869	154.869	154.869	154.869	1	0	116
2026.02.02	00:02:00	154.869	154.869	154.869	154.869	1	0	108
2026.02.02	00:03:00	154.869	154.869	154.868	154.868	2	0	94
2026.02.02	00:04:00	154.865	154.865	154.862	154.865	3	0	78
2026.02.02	00:05:00	154.864	154.864	154.860	154.861	8	0	67
2026.02.02	00:06:00	154.860	154.874	154.860	154.874	8	0	71
2026.02.02	00:07:00	154.887	154.887	154.887	154.887	1	0	115
2026.02.02	00:08:00	154.884	154.884	154.884	154.884	1	0	100
2026.02.02	00:09:00	154.885	154.885	154.880	154.880	5	0	81
2026.02.02	00:10:00	154.880	154.882	154.877	154.877	6	0	93
2026.02.02	00:11:00	154.881	154.882	154.879	154.879	4	0	103
2026.02.02	00:12:00	154.880	154.880	154.879	154.879	2	0	103
2026.02.02	00:13:00	154.878	154.878	154.875	154.875	2	0	105
2026.02.02	00:14:00	154.875	154.875	154.875	154.875	1	0	108
2026.02.02	00:15:00	154.873	154.921	154.873	154.918	15	0	60
2026.02.02	00:16:00	154.921	154.921	154.917	154.917	3	0	96
2026.02.02	00:17:00	154.917	154.918	154.917	154.917	3	0	86
2026.02.02	00:18:00	154.917	154.922	154.908	154.922	10	0	67
2026.02.02	00:19:00	154.922	155.048	154.904	154.904	31	0	57
2026.02.02	00:20:00	154.923	155.008	154.923	154.999	20	0	101
2026.02.02	00:21:00	155.002	155.052	155.001	155.032	45	0	110
2026.02.02	00:22:00	155.028	155.039	155.028	155.039	7	0	111
2026.02.02	00:23:00	155.039	155.039	155.006	155.030	8	0	91
2026.02.02	00:24:00	155.072	155.080	155.035	155.038	6	0	59
2026.02.02	00:25:00	155.054	155.089	155.054	155.089	5	0	77
2026.02.02	00:26:00	155.089	155.159	155.089	155.126	22	0	54
2026.02.02	00:27:00	155.202	155.296	155.123	155.289	36	0	58
2026.02.02	00:28:00	155.284	155.325	155.274	155.286	18	0	67
2026.02.02	00:29:00	155.284	155.291	155.284	155.291	2	0	72
2026.02.02	00:30:00	155.291	155.380	155.284	155.332	36	0	58
2026.02.02	00:31:00	155.334	155.339	155.297	155.318	25	0	59
2026.02.02	00:32:00	155.313	155.313	155.305	155.305	3	0	78
2026.02.02	00:33:00	155.304	155.317	155.304	155.317	11	0	53
2026.02.02	00:34:00	155.321	155.321	155.308	155.309	10	0	73
2026.02.02	00:35:00	155.317	155.318	155.314	155.316	7	0	76
2026.02.02	00:36:00	155.316	155.320	155.313	155.313	8	0	64
2026.02.02	00:37:00	155.312	155.314	155.312	155.312	3	0	69
2026.02.02	00:38:00	155.312	155.338	155.311	155.312	5	0	44
2026.02.02	00:39:00	155.312	155.312	155.312	155.312	1	0	70
2026.02.02	00:40:00	155.308	155.318	155.306	155.318	21	0	52
2026.02.02	00:41:00	155.322	155.322	155.322	155.322	1	0	65
2026.02.02	00:42:00	155.320	155.324	155.319	155.324	6	0	54
2026.02.02	00:43:00	155.321	155.330	155.321	155.330	2	0	56
2026.02.02	00:44:00	155.329	155.329	155.329	155.329	1	0	64
2026.02.02	00:45:00	155.331	155.340	155.321	155.340	11	0	48
2026.02.02	00:46:00	155.339	155.339	155.322	155.322	7	0	24
2026.02.02	00:47:00	155.329	155.338	155.321	155.338	10	0	48
2026.02.02	00:48:00	155.339	155.366	155.338	155.359	27	0	41
2026.02.02	00:49:00	155.359	155.376	155.336	155.366	32	0	53
2026.02.02	00:50:00	155.367	155.369	155.367	155.367	10	0	68
2026.02.02	00:51:00	155.368	155.368	155.347	155.353	21	0	56
2026.02.02	00:52:00	155.352	155.355	155.343	155.353	10	0	57
2026.02.02	00:53:00	155.345	155.379	155.345	155.356	21	0	45
2026.02.02	00:54:00	155.355	155.360	155.347	155.354	9	0	56
2026.02.02	00:55:00	155.353	155.354	155.351	155.353	5	0	65
2026.02.02	00:56:00	155.356	155.359	155.344	155.344	19	0	42
2026.02.02	00:57:00	155.345	155.345	155.313	155.318	16	0	49
2026.02.02	00:58:00	155.315	155.321	155.315	155.317	7	0	61
2026.02.02	00:59:00	155.318	155.337	155.110	155.128	74	0	65
2026.02.02	01:00:00	155.235	155.373	155.208	155.372	193	0	19
2026.02.02	01:01:00	155.363	155.392	155.362	155.392	148	0	17
2026.02.02	01:02:00	155.390	155.422	155.388	155.404	85	0	11
2026.02.02	01:03:00	155.404	155.435	155.338	155.393	131	0	12
2026.02.02	01:04:00	155.390	155.443	155.390	155.430	106	0	15
2026.02.02	01:05:00	155.430	155.453	155.409	155.447	153	0	15
2026.02.02	01:06:00	155.448	155.476	155.447	155.461	102	0	11
2026.02.02	01:07:00	155.460	155.476	155.457	155.460	83	0	12
2026.02.02	01:08:00	155.462	155.465	155.448	155.449	53	0	12
2026.02.02	01:09:00	155.452	155.494	155.451	155.472	93	0	12
2026.02.02	01:10:00	155.472	155.490	155.469	155.471	79	0	12
2026.02.02	01:11:00	155.471	155.506	155.470	155.505	115	0	8
2026.02.02	01:12:00	155.505	155.505	155.422	155.449	146	0	8
2026.02.02	01:13:00	155.449	155.450	155.418	155.433	139	0	12
2026.02.02	01:14:00	155.433	155.463	155.431	155.463	162	0	12
2026.02.02	01:15:00	155.463	155.492	155.462	155.479	88	0	10
2026.02.02	01:16:00	155.478	155.482	155.450	155.460	71	0	13
2026.02.02	01:17:00	155.460	155.460	155.445	155.450	123	0	11
2026.02.02	01:18:00	155.449	155.449	155.330	155.375	222	0	10
2026.02.02	01:19:00	155.374	155.389	155.341	155.363	155	0	12
2026.02.02	01:20:00	155.360	155.419	155.353	155.416	180	0	8
2026.02.02	01:21:00	155.415	155.426	155.372	155.422	220	0	8
2026.02.02	01:22:00	155.420	155.435	155.408	155.422	131	0	8
2026.02.02	01:23:00	155.421	155.431	155.408	155.423	135	0	15
2026.02.02	01:24:00	155.424	155.443	155.421	155.442	76	0	15
2026.02.02	01:25:00	155.442	155.455	155.404	155.407	109	0	14
2026.02.02	01:26:00	155.406	155.409	155.348	155.350	116	0	15
2026.02.02	01:27:00	155.347	155.385	155.345	155.370	123	0	13
2026.02.02	01:28:00	155.370	155.389	155.357	155.381	151	0	12
2026.02.02	01:29:00	155.382	155.382	155.332	155.344	126	0	12
2026.02.02	01:30:00	155.344	155.360	155.298	155.301	169	0	12
2026.02.02	01:31:00	155.301	155.316	155.241	155.245	190	0	13
2026.02.02	01:32:00	155.244	155.253	155.195	155.252	197	0	8
2026.02.02	01:33:00	155.252	155.252	155.197	155.217	199	0	8
2026.02.02	01:34:00	155.214	155.225	155.176	155.185	182	0	12
2026.02.02	01:35:00	155.184	155.223	155.168	155.223	182	0	11
2026.02.02	01:36:00	155.226	155.247	155.195	155.245	157	0	10
2026.02.02	01:37:00	155.246	155.246	155.147	155.163	207	0	13
2026.02.02	01:38:00	155.163	155.163	155.100	155.111	223	0	8
2026.02.02	01:39:00	155.117	155.141	155.098	155.101	199	0	10
2026.02.02	01:40:00	155.102	155.110	155.078	155.093	191	0	11
2026.02.02	01:41:00	155.094	155.160	155.079	155.158	200	0	13
2026.02.02	01:42:00	155.159	155.182	155.155	155.161	101	0	13
2026.02.02	01:43:00	155.161	155.179	155.151	155.178	110	0	11
2026.02.02	01:44:00	155.177	155.184	155.159	155.163	137	0	12
2026.02.02	01:45:00	155.163	155.181	155.135	155.180	185	0	10
2026.02.02	01:46:00	155.180	155.182	155.125	155.147	119	0	11
2026.02.02	01:47:00	155.147	155.180	155.141	155.179	81	0	10
2026.02.02	01:48:00	155.178	155.190	155.171	155.178	102	0	11
2026.02.02	01:49:00	155.177	155.195	155.167	155.195	112	0	8
2026.02.02	01:50:00	155.193	155.237	155.183	155.209	153	0	8
2026.02.02	01:51:00	155.209	155.215	155.103	155.174	278	0	8
2026.02.02	01:52:00	155.173	155.193	155.153	155.166	204	0	11
2026.02.02	01:53:00	155.167	155.178	155.096	155.120	270	0	12
2026.02.02	01:54:00	155.119	155.178	155.104	155.158	172	0	13
2026.02.02	01:55:00	155.157	155.238	155.153	155.225	196	0	8
2026.02.02	01:56:00	155.225	155.233	155.188	155.213	173	0	8
2026.02.02	01:57:00	155.213	155.228	155.160	155.223	185	0	13
2026.02.02	01:58:00	155.224	155.232	155.196	155.216	150	0	10
2026.02.02	01:59:00	155.217	155.225	155.201	155.221	141	0	11
2026.02.02	02:00:00	155.220	155.220	155.035	155.044	270	0	8
2026.02.02	02:01:00	155.043	155.043	154.985	154.997	264	0	8
2026.02.02	02:02:00	154.996	155.004	154.882	154.884	285	0	8
2026.02.02	02:03:00	154.885	154.943	154.872	154.924	224	0	8
2026.02.02	02:04:00	154.923	154.967	154.896	154.903	237	0	8
2026.02.02	02:05:00	154.904	154.960	154.900	154.953	264	0	8
2026.02.02	02:06:00	154.953	154.978	154.926	154.950	210	0	8
2026.02.02	02:07:00	154.951	155.008	154.951	154.973	176	0	8
2026.02.02	02:08:00	154.975	154.976	154.868	154.870	232	0	8
2026.02.02	02:09:00	154.871	154.904	154.842	154.872	237	0	8
2026.02.02	02:10:00	154.872	154.876	154.823	154.863	210	0	8
2026.02.02	02:11:00	154.863	154.873	154.818	154.832	180	0	8
2026.02.02	02:12:00	154.831	154.885	154.828	154.862	150	0	8
2026.02.02	02:13:00	154.862	154.915	154.845	154.915	147	0	8
2026.02.02	02:14:00	154.915	154.915	154.851	154.856	168	0	8
2026.02.02	02:15:00	154.855	154.904	154.842	154.885	194	0	8
2026.02.02	02:16:00	154.884	154.914	154.866	154.913	162	0	8
2026.02.02	02:17:00	154.913	154.913	154.864	154.864	171	0	10
2026.02.02	02:18:00	154.866	154.902	154.845	154.900	168	0	8
2026.02.02	02:19:00	154.899	154.941	154.885	154.888	189	0	8
2026.02.02	02:20:00	154.889	154.928	154.864	154.923	132	0	8
2026.02.02	02:21:00	154.923	154.975	154.910	154.964	125	0	8
2026.02.02	02:22:00	154.964	155.026	154.962	155.003	185	0	8
2026.02.02	02:23:00	155.004	155.020	154.979	155.013	212	0	8
2026.02.02	02:24:00	155.012	155.012	154.948	154.960	174	0	8
2026.02.02	02:25:00	154.963	154.992	154.914	154.922	157	0	8
2026.02.02	02:26:00	154.921	154.949	154.910	154.922	143	0	8
2026.02.02	02:27:00	154.923	154.999	154.923	154.983	151	0	8
2026.02.02	02:28:00	154.983	155.018	154.975	154.997	86	0	10
2026.02.02	02:29:00	154.995	154.998	154.943	154.961	139	0	8
2026.02.02	02:30:00	154.960	154.974	154.926	154.944	196	0	8
2026.02.02	02:31:00	154.943	154.999	154.940	154.992	136	0	8
2026.02.02	02:32:00	154.994	155.032	154.982	155.029	128	0	8
2026.02.02	02:33:00	155.028	155.041	154.993	155.029	143	0	8
2026.02.02	02:34:00	155.027	155.052	155.025	155.049	109	0	8
2026.02.02	02:35:00	155.050	155.085	155.037	155.057	150	0	8
2026.02.02	02:36:00	155.055	155.067	155.030	155.067	176	0	8
2026.02.02	02:37:00	155.065	155.077	155.054	155.057	166	0	8
2026.02.02	02:38:00	155.058	155.058	155.019	155.034	110	0	8
2026.02.02	02:39:00	155.032	155.036	155.004	155.009	117	0	8
2026.02.02	02:40:00	155.009	155.055	155.002	155.055	148	0	8
2026.02.02	02:41:00	155.055	155.080	155.046	155.079	147	0	8
2026.02.02	02:42:00	155.078	155.108	155.078	155.101	132	0	8
2026.02.02	02:43:00	155.102	155.122	155.071	155.083	234	0	8
2026.02.02	02:44:00	155.083	155.117	155.069	155.103	169	0	8
2026.02.02	02:45:00	155.104	155.133	155.083	155.130	182	0	10
2026.02.02	02:46:00	155.129	155.145	155.118	155.142	132	0	8
2026.02.02	02:47:00	155.141	155.182	155.130	155.177	137	0	8
2026.02.02	02:48:00	155.177	155.191	155.153	155.154	158	0	8
2026.02.02	02:49:00	155.153	155.163	155.119	155.138	141	0	8
2026.02.02	02:50:00	155.138	155.162	155.132	155.139	114	0	8
2026.02.02	02:51:00	155.140	155.150	155.122	155.142	146	0	8
2026.02.02	02:52:00	155.141	155.161	155.109	155.133	135	0	8
2026.02.02	02:53:00	155.131	155.200	155.116	155.190	170	0	8
2026.02.02	02:54:00	155.189	155.235	155.143	155.235	340	0	8
2026.02.02	02:55:00	155.236	155.263	155.225	155.247	175	0	8
2026.02.02	02:56:00	155.247	155.266	155.237	155.255	158	0	8
2026.02.02	02:57:00	155.255	155.263	155.204	155.208	128	0	10
2026.02.02	02:58:00	155.207	155.239	155.195	155.238	165	0	8
2026.02.02	02:59:00	155.240	155.250	155.226	155.228	116	0	8
2026.02.02	03:00:00	155.233	155.276	155.232	155.271	231	0	8
2026.02.02	03:01:00	155.269	155.282	155.232	155.259	192	0	8
2026.02.02	03:02:00	155.259	155.281	155.228	155.240	230	0	8
2026.02.02	03:03:00	155.237	155.254	155.229	155.243	171	0	8
2026.02.02	03:04:00	155.245	155.279	155.241	155.274	169	0	8
2026.02.02	03:05:00	155.273	155.279	155.251	155.255	143	0	8
2026.02.02	03:06:00	155.256	155.270	155.235	155.258	201	0	8
2026.02.02	03:07:00	155.258	155.271	155.254	155.271	96	0	11
2026.02.02	03:08:00	155.271	155.271	155.234	155.258	147	0	8
2026.02.02	03:09:00	155.260	155.278	155.260	155.275	97	0	8
2026.02.02	03:10:00	155.274	155.307	155.254	155.272	263	0	8
2026.02.02	03:11:00	155.273	155.330	155.268	155.276	268	0	8
2026.02.02	03:12:00	155.276	155.331	155.271	155.330	206	0	8
2026.02.02	03:13:00	155.331	155.363	155.324	155.352	168	0	10
2026.02.02	03:14:00	155.352	155.385	155.348	155.369	188	0	10
2026.02.02	03:15:00	155.369	155.379	155.318	155.320	178	0	8
2026.02.02	03:16:00	155.320	155.327	155.260	155.266	243	0	8
2026.02.02	03:17:00	155.265	155.279	155.249	155.249	217	0	8
2026.02.02	03:18:00	155.249	155.267	155.208	155.213	149	0	8
2026.02.02	03:19:00	155.214	155.250	155.209	155.209	181	0	8
2026.02.02	03:20:00	155.209	155.306	155.209	155.270	191	0	8
2026.02.02	03:21:00	155.270	155.319	155.268	155.300	152	0	10
2026.02.02	03:22:00	155.299	155.303	155.278	155.300	146	0	8
2026.02.02	03:23:00	155.299	155.338	155.299	155.309	218	0	8
2026.02.02	03:24:00	155.309	155.309	155.216	155.227	253	0	8
2026.02.02	03:25:00	155.233	155.246	155.221	155.230	166	0	10
2026.02.02	03:26:00	155.230	155.233	155.176	155.184	166	0	8
2026.02.02	03:27:00	155.184	155.212	155.182	155.200	153	0	11
2026.02.02	03:28:00	155.201	155.238	155.201	155.228	119	0	8
2026.02.02	03:29:00	155.228	155.248	155.201	155.222	161	0	8
2026.02.02	03:30:00	155.221	155.236	155.204	155.236	149	0	8
2026.02.02	03:31:00	155.235	155.237	155.160	155.163	137	0	8
2026.02.02	03:32:00	155.162	155.190	155.140	155.168	169	0	8
2026.02.02	03:33:00	155.166	155.176	155.143	155.154	127	0	8
2026.02.02	03:34:00	155.155	155.183	155.154	155.170	138	0	8
2026.02.02	03:35:00	155.169	155.188	155.117	155.125	186	0	8
2026.02.02	03:36:00	155.124	155.177	155.116	155.165	149	0	8
2026.02.02	03:37:00	155.165	155.171	155.156	155.158	133	0	8
2026.02.02	03:38:00	155.158	155.158	155.120	155.140	186	0	8
2026.02.02	03:39:00	155.140	155.161	155.120	155.161	148	0	10
2026.02.02	03:40:00	155.160	155.166	155.110	155.119	173	0	10
2026.02.02	03:41:00	155.118	155.144	155.112	155.126	170	0	8
2026.02.02	03:42:00	155.126	155.147	155.107	155.117	117	0	8
2026.02.02	03:43:00	155.118	155.153	155.117	155.143	93	0	8
2026.02.02	03:44:00	155.143	155.159	155.109	155.110	138	0	8
2026.02.02	03:45:00	155.111	155.129	155.103	155.128	127	0	8
2026.02.02	03:46:00	155.128	155.131	155.102	155.121	158	0	10
2026.02.02	03:47:00	155.120	155.142	155.108	155.114	176	0	8
2026.02.02	03:48:00	155.113	155.120	155.100	155.117	173	0	8
2026.02.02	03:49:00	155.115	155.128	155.103	155.123	182	0	8
2026.02.02	03:50:00	155.122	155.133	155.111	155.121	158	0	11
2026.02.02	03:51:00	155.121	155.126	155.099	155.108	143	0	8
2026.02.02	03:52:00	155.109	155.130	155.081	155.120	198	0	8
2026.02.02	03:53:00	155.122	155.125	155.095	155.096	150	0	8
2026.02.02	03:54:00	155.096	155.134	155.091	155.105	164	0	8
2026.02.02	03:55:00	155.105	155.126	155.082	155.084	142	0	8
2026.02.02	03:56:00	155.090	155.096	155.069	155.077	143	0	8
2026.02.02	03:57:00	155.076	155.079	155.048	155.053	177	0	8
2026.02.02	03:58:00	155.054	155.059	155.008	155.009	182	0	8
2026.02.02	03:59:00	155.010	155.032	155.004	155.031	146	0	8
2026.02.02	04:00:00	155.032	155.034	154.979	154.989	190	0	8
2026.02.02	04:01:00	154.990	154.996	154.967	154.980	190	0	11
2026.02.02	04:02:00	154.981	155.010	154.976	155.009	174	0	10
2026.02.02	04:03:00	155.009	155.036	154.993	155.035	182	0	8
2026.02.02	04:04:00	155.035	155.058	155.024	155.056	136	0	8
2026.02.02	04:05:00	155.056	155.083	155.041	155.083	121	0	8
2026.02.02	04:06:00	155.082	155.090	155.061	155.061	98	0	8
2026.02.02	04:07:00	155.062	155.083	155.038	155.046	156	0	8
2026.02.02	04:08:00	155.046	155.046	154.997	155.010	169	0	8
2026.02.02	04:09:00	155.009	155.036	155.008	155.024	107	0	8
2026.02.02	04:10:00	155.025	155.035	154.977	154.979	139	0	8
2026.02.02	04:11:00	154.978	154.979	154.940	154.968	141	0	8
2026.02.02	04:12:00	154.967	155.001	154.942	154.984	155	0	8
2026.02.02	04:13:00	154.984	155.023	154.982	155.022	145	0	8
2026.02.02	04:14:00	155.023	155.063	155.022	155.047	158	0	10
2026.02.02	04:15:00	155.046	155.061	155.013	155.013	129	0	8
2026.02.02	04:16:00	155.013	155.039	155.011	155.024	165	0	10
2026.02.02	04:17:00	155.025	155.025	154.972	155.001	136	0	10
2026.02.02	04:18:00	155.000	155.011	154.973	154.983	152	0	10
2026.02.02	04:19:00	154.989	154.996	154.941	154.946	150	0	8
2026.02.02	04:20:00	154.944	154.985	154.942	154.949	121	0	8
2026.02.02	04:21:00	154.950	154.965	154.919	154.928	112	0	8
2026.02.02	04:22:00	154.927	154.942	154.842	154.883	260	0	8
2026.02.02	04:23:00	154.883	154.940	154.882	154.926	185	0	8
2026.02.02	04:24:00	154.929	154.940	154.922	154.936	176	0	10
2026.02.02	04:25:00	154.935	154.989	154.935	154.977	149	0	10
2026.02.02	04:26:00	154.978	154.994	154.932	154.959	196	0	8
2026.02.02	04:27:00	154.957	154.987	154.947	154.987	175	0	8
2026.02.02	04:28:00	154.986	155.003	154.971	154.996	192	0	8
2026.02.02	04:29:00	154.997	155.014	154.986	155.012	178	0	8
2026.02.02	04:30:00	155.011	155.014	154.987	155.013	161	0	8
2026.02.02	04:31:00	155.012	155.031	155.010	155.017	120	0	8
2026.02.02	04:32:00	155.017	155.028	155.006	155.011	146	0	8
2026.02.02	04:33:00	155.010	155.016	154.993	155.001	147	0	8
2026.02.02	04:34:00	155.000	155.001	154.976	155.000	119	0	8
2026.02.02	04:35:00	155.001	155.025	154.999	155.013	88	0	8
2026.02.02	04:36:00	155.012	155.021	154.985	154.986	102	0	8
2026.02.02	04:37:00	154.987	154.988	154.963	154.976	131	0	8
2026.02.02	04:38:00	154.976	154.982	154.936	154.971	143	0	8
2026.02.02	04:39:00	154.972	155.009	154.972	155.009	188	0	10
