Variant,Trades,Wins,Losses,WinRate,PF,NetPnL,AvgWin,AvgLoss,AvgMFE,AvgMAE,BE_pct,AvgHold
Trail=1.5 BASE,31,18,13,58.1,2.27,155.01,15.42,9.42,19.30,8.10,58,8.7
SLcap=H1×2.0,31,18,13,58.1,2.27,155.01,15.42,9.42,19.30,8.10,58,8.7
SLcap=H1×2.5,31,18,13,58.1,2.27,155.01,15.42,9.42,19.30,8.10,58,8.7
SLcap=H1×3.0,31,18,13,58.1,2.27,155.01,15.42,9.42,19.30,8.10,58,8.7
TP=RW×2.0,31,18,13,58.1,2.20,147.29,14.99,9.42,18.61,8.10,58,8.5
TP=RW×1.5,31,18,13,58.1,2.10,134.36,14.27,9.42,17.62,8.10,58,8.5
Trail=0.8+TP=RW×1.5,31,14,17,45.2,1.92,97.14,14.48,6.21,12.20,6.69,42,4.2
TP=RW×1.0,31,18,13,58.1,1.92,112.17,13.04,9.42,16.33,8.10,58,7.9
Trail=0.8,31,14,17,45.2,1.88,92.60,14.16,6.21,12.20,6.69,42,4.2
Trail=0.8+TP=RW×1.0,31,14,17,45.2,1.84,88.64,13.87,6.21,11.95,6.69,42,4.1
Trail=1.0+TP=RW×1.5,31,14,17,45.2,1.62,77.03,14.40,7.33,12.79,7.17,45,5.5
Trail=1.0,31,14,17,45.2,1.57,71.60,14.01,7.33,12.79,7.17,45,5.5
Trail=1.0+TP=RW×1.0,31,14,17,45.2,1.56,69.58,13.87,7.33,12.54,7.17,45,5.4
Trail=1.2,31,15,16,48.4,1.41,57.49,13.08,8.67,13.71,7.67,48,6.6
