ImpulseTime,Direction,RangePts,SpreadAtFreeze,BandWidth,Fib50,Fib618,ConfirmType,RejectStage,Baseline,Base_CRYPTO,FlatGuard,FlatMatch_EA,FlatBreakout,FlatState,FlatDuration,FlatBarsSince,EntryPrice,SL,ExitPrice,ExitReason,PnL_pips,HoldBars_M1,FreezeTime
2025-12-01 00:19:00,SHORT,7570.0,2250.0,250.0,91267.15,91276.08,,RETOUCH_TIMEOUT,M15_FLAT,M15_FLAT,M15_FLAT,M15_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-01 00:20:00
2025-12-01 01:25:00,SHORT,28670.0,2250.0,512.8,90720.55,90754.38,,RETOUCH_TIMEOUT,M15_FLAT,M15_FLAT,M15_FLAT,M15_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-01 01:31:00
2025-12-01 02:04:00,SHORT,125870.0,2250.0,1489.5,89548.55,89697.08,,RETOUCH_TIMEOUT,M15_FLAT,M15_FLAT,M15_FLAT,M15_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-01 02:09:00
2025-12-01 04:37:00,SHORT,40130.0,2250.0,815.3,86772.45,86819.8,,FIB786_BREAK,PASS,PASS,PASS,PASS,SHORT,MATCH,15,1,,,,,,,2025-12-01 04:39:00
2025-12-01 08:01:00,LONG,15080.0,2250.0,451.4,86136.4,86118.61,,STRUCTURE_BREAK,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,LONG,MATCH,14,1,,,,,,,2025-12-01 08:02:00
2025-12-01 14:42:00,SHORT,27620.0,2250.0,659.5,85519.6,85552.19,,FIB786_BREAK,PASS,PASS,PASS,PASS,SHORT,MATCH,7,18,,,,,,,2025-12-01 14:44:00
2025-12-01 16:05:00,SHORT,22120.0,2250.0,813.5,86149.4,86175.5,,FIB786_BREAK,PASS,PASS,PASS,FLAT_MISMATCH,LONG,MISMATCH,4,2,,,,,,,2025-12-01 16:06:00
2025-12-01 16:31:00,SHORT,41890.0,2250.0,943.6,86101.05,86150.48,,STRUCTURE_BREAK,PASS,PASS,STILL_FLAT,FLAT_STILL_FLAT,STILL_FLAT,STILL_FLAT,3,0,,,,,,,2025-12-01 16:32:00
2025-12-01 18:37:00,LONG,0.0,0.0,0.0,0.0,0.0,,FREEZE_CANCEL,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,LONG,MATCH,2,1,,,,,,,
2025-12-01 20:12:00,LONG,29330.0,2250.0,920.4,85323.85,85289.24,MicroBreak,,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,LONG,MATCH,3,1,85453.2,85097.3,85167.2,StructBreak_Fib0,-28600.0,6,2025-12-01 20:13:00
2025-12-01 20:57:00,LONG,27135.0,2250.0,869.6,85159.28,85127.26,,STRUCTURE_BREAK,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,SHORT,MISMATCH,5,4,,,,,,,2025-12-01 20:58:00
2025-12-01 22:05:00,LONG,35550.0,2250.0,963.1,85619.95,85578.0,,FIB786_BREAK,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,LONG,MATCH,4,2,,,,,,,2025-12-01 22:06:00
2025-12-02 03:06:00,LONG,54100.0,2250.0,992.2,87067.5,87003.66,,FIB786_BREAK,PASS,PASS,PASS,PASS,LONG,MATCH,8,4,,,,,,,2025-12-02 03:07:00
2025-12-02 04:11:00,LONG,20260.0,2250.0,615.7,86462.4,86438.49,,RETOUCH_TIMEOUT,PASS,PASS,PASS,FLAT_NO_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-02 04:12:00
2025-12-02 05:43:00,LONG,40780.0,2250.0,700.6,86764.8,86716.68,,RETOUCH_TIMEOUT,PASS,PASS,PASS,FLAT_MISMATCH,SHORT,MISMATCH,3,8,,,,,,,2025-12-02 05:45:00
2025-12-02 07:10:00,LONG,24215.0,2250.0,401.4,86991.72,86963.15,,FIB786_BREAK,PASS,PASS,STILL_FLAT,FLAT_STILL_FLAT,STILL_FLAT,STILL_FLAT,8,0,,,,,,,2025-12-02 07:13:00
2025-12-02 09:11:00,LONG,10590.0,2250.0,294.8,86981.55,86969.05,,STRUCTURE_BREAK,PASS,PASS,PASS,PASS,LONG,MATCH,18,7,,,,,,,2025-12-02 09:12:00
2025-12-02 09:37:00,LONG,9580.0,2250.0,282.0,86967.4,86956.1,,FIB786_BREAK,PASS,PASS,PASS,FLAT_NO_FLAT,NONE,NO_FLAT,0,0,,,,,,,2025-12-02 09:38:00
2025-12-02 10:12:00,SHORT,17820.0,2250.0,415.4,86757.0,86778.03,,RETOUCH_TIMEOUT,M15_COUNTER,M15_COUNTER,M15_COUNTER,M15_COUNTER,SHORT,MATCH,7,1,,,,,,,2025-12-02 10:13:00
