entry_idx,entry_dt,dir,entry_price,impulse_start,ma_match,oracle_pnl,oracle_bar,conv_exit_idx,conv_reason,conv_pnl,conv_bars,conv_efficiency,fr_exit_idx,fr_reason,fr_pnl,fr_bars,fr_efficiency,hyb_exit_idx,hyb_reason,hyb_pnl,hyb_bars,hyb_efficiency
25,2025-09-01 01:25:00,BUY,3446.97,3442.0,MATCH,526.9999999999982,12,74,EMACross,176.00000000002183,49,33.39658444023196,72,FailSafe,239.00000000003274,47,45.35104364327013,72,H:FailSafe,239.00000000003274,47,45.35104364327013
86,2025-09-01 02:26:00,SELL,3446.96,3450.57,MATCH,1017.9999999999836,120,111,TimeExit,-13.000000000010914,25,-1.2770137524568883,112,UnfavBreak,-82.99999999999272,26,-8.153241650294111,111,TimeExit+FR,-13.000000000010914,25,-1.2770137524568883
152,2025-09-01 03:32:00,BUY,3444.73,3442.47,MATCH,2636.0000000000127,97,155,EMACross,-44.00000000000546,3,-1.669195751138287,184,FailSafe,-180.0000000000182,32,-6.8285280728382896,161,TimeExit+FR,-82.99999999999272,9,-3.1487101669192836
216,2025-09-01 04:36:00,BUY,3440.29,3436.78,MATCH,4557.000000000016,86,312,EMACross,3126.999999999998,96,68.6197059468946,229,TrailStop,784.0000000000146,13,17.204301075269075,229,H:TrailStop,784.0000000000146,13,17.204301075269075
277,2025-09-01 05:37:00,BUY,3469.96,3456.23,MATCH,1590.000000000009,25,312,EMACross,159.9999999999909,35,10.062893081760377,309,UnfavBreak,398.0000000000018,32,25.031446540880474,309,H:UnfavBreak,398.0000000000018,32,25.031446540880474
343,2025-09-01 06:43:00,BUY,3473.59,3469.36,MATCH,919.9999999999818,113,388,TimeExit,-66.00000000003092,45,-7.173913043481764,375,FailSafe,48.99999999997817,32,5.326086956519472,375,H:FailSafe,48.99999999997817,32,5.326086956519472
405,2025-09-01 07:45:00,SELL,3474.73,3479.43,MISMATCH,51.99999999999818,30,413,TimeExit,-34.00000000001455,8,-65.38461538464566,424,UnfavBreak,-200.0,19,-384.61538461539806,413,TimeExit+Conv,-34.00000000001455,8,-65.38461538464566
470,2025-09-01 08:50:00,BUY,3479.71,3474.53,MATCH,1007.0000000000164,50,478,TimeExit,-111.00000000001273,8,-11.022840119166924,507,TrailStop,484.9999999999909,37,48.16285998013734,478,TimeExit+FR,-111.00000000001273,8,-11.022840119166924
531,2025-09-01 09:51:00,BUY,3486.16,3483.13,MATCH,1.0000000000218279,1,536,EMACross,-221.00000000000364,5,-22099.999999517968,536,UnfavBreak,-221.00000000000364,5,-22099.999999517968,536,H:UnfavBreak,-221.00000000000364,5,-22099.999999517968
592,2025-09-01 10:52:00,BUY,3474.98,3467.71,MATCH,478.00000000002,28,608,TimeExit,-49.00000000002365,16,-10.25104602510912,623,TrailStop,361.9999999999891,31,75.7322175732163,608,TimeExit+FR,-49.00000000002365,16,-10.25104602510912
656,2025-09-01 11:56:00,SELL,3476.84,3479.18,MATCH,1050.0,65,730,EMACross,367.0000000000073,74,34.952380952381645,693,TrailStop,632.9999999999927,37,60.28571428571359,693,H:TrailStop,632.9999999999927,37,60.28571428571359
717,2025-09-01 12:57:00,SELL,3469.15,3470.68,MATCH,280.99999999999454,4,727,TimeExit,-48.00000000000182,10,-17.081850533808808,722,TrailStop,70.00000000002728,5,24.911032028479944,722,H:TrailStop,70.00000000002728,5,24.911032028479944
812,2025-09-01 14:32:00,BUY,3471.35,3469.64,MATCH,738.9999999999873,120,821,TimeExit,0.0,9,0.0,817,TrailStop,7.000000000016371,5,0.9472259810577119,817,H:TrailStop,7.000000000016371,5,0.9472259810577119
885,2025-09-01 15:45:00,BUY,3469.84,3467.2,MATCH,1146.99999999998,97,897,TimeExit,-12.00000000003456,12,-1.0462074978234326,896,TrailStop,25.0,11,2.17959895379254,896,H:TrailStop,25.0,11,2.17959895379254
958,2025-09-01 16:58:00,SELL,3476.05,3479.11,MATCH,272.00000000002547,114,971,TimeExit,-53.99999999999636,13,-19.852941176467393,979,UnfavBreak,-317.99999999998363,21,-116.9117647058654,971,TimeExit+FR,-53.99999999999636,13,-19.852941176467393
1019,2025-09-01 17:59:00,SELL,3475.65,3477.3,MISMATCH,336.9999999999891,69,1023,EMACross,-130.99999999999454,4,-38.8724035608305,1031,UnfavBreak,-227.99999999997453,12,-67.655786350143,1023,H:EMACross,-130.99999999999454,4,-38.8724035608305
1080,2025-09-01 19:00:00,SELL,3473.65,3476.33,MATCH,136.9999999999891,8,1093,TimeExit,-9.999999999990905,13,-7.299270072986644,1112,UnfavBreak,-121.99999999997999,32,-89.05109489050344,1093,TimeExit+FR,-9.999999999990905,13,-7.299270072986644
1141,2025-09-01 20:01:00,BUY,3477.4,3475.65,MATCH,228.99999999999636,92,1149,TimeExit,-24.000000000023647,8,-10.480349344988658,1147,UnfavBreak,-94.00000000000546,6,-41.048034934500855,1147,H:UnfavBreak,-94.00000000000546,6,-41.048034934500855
1202,2025-09-01 21:02:00,SELL,3476.82,3478.21,MATCH,271.00000000000364,85,1218,TimeExit,-33.99999999996908,16,-12.546125461243033,1227,TrailStop,95.00000000002728,25,35.05535055351513,1218,TimeExit+FR,-33.99999999996908,16,-12.546125461243033
