entry_idx,entry_dt,dir,entry_price,impulse_start,h1_atr,sr_target,sr_found,sr_dist_atr,oracle_pnl,oracle_bar,conv_exit_idx,conv_reason,conv_pnl,conv_bars,conv_efficiency,sr_exit_idx,sr_reason,sr_pnl,sr_bars,sr_efficiency,sro_exit_idx,sro_reason,sro_pnl,sro_bars,sro_efficiency
26,2025-12-01 00:27:00,BUY,156.085,156.063,0.071,156.16699999999997,True,1.15,60.000000000002274,72,31,StructBreak,-30.000000000001137,5,-50.0,31,StructBreak,-30.000000000001137,5,-50.0,31.0,StructBreak,-30.000000000001137,5.0,-50.0
94,2025-12-01 01:35:00,BUY,156.117,156.018,0.09447,156.16699999999997,True,0.53,28.00000000002001,4,104,TimeExit,-48.99999999997817,10,-174.99999999979698,104,TimeExit,-48.99999999997817,10,-174.99999999979698,111.0,StructBreak,-108.99999999998045,17.0,-389.2857142853662
155,2025-12-01 02:36:00,SELL,155.723,155.851,0.11334,155.51075,True,1.87,246.00000000000932,34,170,TimeExit,-1.999999999981128,15,-0.8130081300735984,170,TimeExit,-1.999999999981128,15,-0.8130081300735984,184.0,StructBreak,-187.99999999998818,29.0,-76.42276422763457
216,2025-12-01 03:37:00,BUY,155.766,155.535,0.16623,155.979,True,1.28,27.000000000015234,1,226,TimeExit,-12.000000000000455,10,-44.44444444442105,226,TimeExit,-12.000000000000455,10,-44.44444444442105,244.0,StructBreak,-233.99999999998045,28.0,-866.6666666661052
280,2025-12-01 04:41:00,SELL,155.467,155.614,0.17406,155.226,True,1.38,76.00000000002183,112,296,TimeExit,-8.99999999998613,16,-11.842105263136244,296,TimeExit,-8.99999999998613,16,-11.842105263136244,310.0,TimeExit,-69.99999999999318,30.0,-92.10526315785931
344,2025-12-01 05:45:00,SELL,155.416,155.506,0.17539,155.226,True,1.08,25.000000000005684,48,354,TimeExit,-9.000000000014552,10,-36.00000000005002,354,TimeExit,-9.000000000014552,10,-36.00000000005002,374.0,TimeExit,-28.999999999996362,30.0,-115.99999999995907
405,2025-12-01 06:46:00,BUY,155.556,155.391,0.1796,155.979,True,2.36,131.00000000000023,98,416,TimeExit,-12.000000000000455,11,-9.160305343511782,416,TimeExit,-12.000000000000455,11,-9.160305343511782,435.0,TimeExit,-76.00000000002183,30.0,-58.01526717558908
466,2025-12-01 07:47:00,BUY,155.55,155.437,0.18339,155.979,True,2.34,137.00000000000045,37,512,EMACross,88.99999999999864,46,64.96350364963382,512,EMACross(FB),88.99999999999864,46,64.96350364963382,548.0,TimeExit,-24.00000000000091,82.0,-17.51824817518309
545,2025-12-01 09:06:00,SELL,155.551,155.661,0.19603,155.226,True,1.66,296.99999999999704,75,555,TimeExit,0.0,10,0.0,555,TimeExit,0.0,10,0.0,643.0,TimeExit,0.0,98.0,0.0
606,2025-12-01 10:07:00,BUY,155.352,155.301,0.21003,155.51075,True,0.76,203.00000000000296,35,608,EMACross,-24.00000000000091,2,-11.822660098522443,608,EMACross(FB),-24.00000000000091,2,-11.822660098522443,616.0,StructBreak,-57.999999999992724,10.0,-28.571428571424573
667,2025-12-01 11:08:00,SELL,155.476,155.551,0.21829,155.226,True,1.15,319.9999999999932,81,677,TimeExit,-45.99999999999227,10,-14.37499999999789,677,TimeExit,-45.99999999999227,10,-14.37499999999789,724.0,SR_TP,250.0,57.0,78.12500000000166
728,2025-12-01 12:09:00,SELL,155.24,155.312,0.20892,155.011,True,1.1,180.00000000000682,120,738,TimeExit,-7.000000000005002,10,-3.888888888891521,738,TimeExit,-7.000000000005002,10,-3.888888888891521,760.0,TimeExit,-10.99999999999568,32.0,-6.11111111110848
791,2025-12-01 13:12:00,BUY,155.316,155.202,0.21306,155.51075,True,0.91,20.999999999986585,6,801,TimeExit,-22.999999999996135,10,-109.52380952386109,801,TimeExit,-22.999999999996135,10,-109.52380952386109,809.0,StructBreak,-138.00000000000523,18.0,-657.1428571433019
852,2025-12-01 14:13:00,SELL,155.062,155.146,0.23639,154.894,True,0.71,402.00000000001523,91,923,EMACross,265.0000000000148,71,65.92039800995143,886,SR_TP,168.00000000000637,34,41.7910447761194,886.0,SR_TP,168.00000000000637,34.0,41.7910447761194
913,2025-12-01 15:14:00,SELL,154.816,154.832,0.2358,154.66,True,0.66,156.0000000000059,30,923,EMACross,19.000000000005457,10,12.179487179490216,923,EMACross(FB),19.000000000005457,10,12.179487179490216,930.0,StructBreak,-50.99999999998772,17.0,-32.692307692298584
974,2025-12-01 16:15:00,BUY,154.939,154.791,0.23476,155.226,True,1.22,254.0000000000191,86,984,TimeExit,0.0,10,0.0,984,TimeExit,0.0,10,0.0,1019.0,TimeExit,-2.999999999985903,45.0,-1.1811023621990855
1035,2025-12-01 17:16:00,BUY,155.091,154.856,0.24839,155.226,True,0.54,256.0000000000002,118,1047,TimeExit,-10.99999999999568,12,-4.296874999998309,1047,TimeExit,-10.99999999999568,12,-4.296874999998309,1067.0,TimeExit,-1.0000000000047748,32.0,-0.39062500000186484
1096,2025-12-01 18:17:00,BUY,155.184,155.038,0.24447,155.51075,True,1.34,211.9999999999891,116,1172,EMACross,99.99999999999432,76,47.16981132075446,1172,EMACross(FB),99.99999999999432,76,47.16981132075446,1266.0,SR_TP,326.7500000000041,170.0,154.12735849057592
1157,2025-12-01 19:18:00,BUY,155.344,155.256,0.22828,155.51075,True,0.73,175.00000000001137,116,1167,TimeExit,-26.999999999986812,10,-15.42857142856289,1167,TimeExit,-26.999999999986812,10,-15.42857142856289,1187.0,TimeExit,-18.000000000000682,30.0,-10.285714285714008
1218,2025-12-01 20:19:00,BUY,155.386,155.335,0.21917,155.51075,True,0.57,133.00000000000978,55,1288,EMACross,99.99999999999432,70,75.18796992480223,1266,SR_TP,124.75000000000591,48,93.79699248120056,1266.0,SR_TP,124.75000000000591,48.0,93.79699248120056
1279,2025-12-01 21:20:00,BUY,155.5,155.48,0.19995,155.979,True,2.4,14.000000000010004,82,1288,EMACross,-14.000000000010004,9,-100.0,1288,EMACross(FB),-14.000000000010004,9,-100.0,1291.0,StructBreak,-22.999999999996135,12.0,-164.28571428556927
1343,2025-12-01 22:24:00,BUY,155.465,155.45,0.18436,155.979,True,2.79,49.000000000006594,18,1373,StructBreak,-15.999999999991132,30,-32.65306122446731,1373,StructBreak,-15.999999999991132,30,-32.65306122446731,1373.0,StructBreak,-15.999999999991132,30.0,-32.65306122446731
1404,2025-12-01 23:25:00,BUY,155.465,155.433,0.17084,155.979,True,3.01,40.99999999999682,33,1414,TimeExit,-12.000000000000455,10,-29.26829268293021,1414,TimeExit,-12.000000000000455,10,-29.26829268293021,1438.0,StructBreak,-40.99999999999682,34.0,-100.0
1465,2025-12-02 00:26:00,BUY,155.453,155.41,0.15593,155.979,True,3.37,193.9999999999884,115,1478,TimeExit,0.0,13,0.0,1478,TimeExit,0.0,13,0.0,1495.0,TimeExit,-34.99999999999659,30.0,-18.041237113401383
1526,2025-12-02 01:27:00,BUY,155.484,155.428,0.15461,155.979,True,3.2,284.9999999999966,106,1536,TimeExit,0.0,10,0.0,1536,TimeExit,0.0,10,0.0,1561.0,TimeExit,-10.000000000019327,35.0,-3.508771929831385
1587,2025-12-02 02:28:00,BUY,155.586,155.479,0.16346,155.979,True,2.4,182.99999999999272,45,1597,TimeExit,-5.000000000023874,10,-2.7322404371716247,1597,TimeExit,-5.000000000023874,10,-2.7322404371716247,1789.0,TimeExit,-16.000000000019554,202.0,-8.743169398918136
1648,2025-12-02 03:29:00,SELL,155.659,155.769,0.1658,155.51075,True,0.89,73.99999999998386,44,1706,EMACross,30.000000000001137,58,40.54054054055092,1706,EMACross(FB),30.000000000001137,58,40.54054054055092,1717.0,TimeExit,-7.000000000005002,69.0,-9.459459459468283
1711,2025-12-02 04:32:00,BUY,155.639,155.585,0.15929,155.979,True,2.13,75.9999999999934,34,1755,EMACross,16.999999999995907,44,22.368421052628136,1755,EMACross(FB),16.999999999995907,44,22.368421052628136,1766.0,TimeExit,-11.000000000024102,55.0,-14.473684210559284
1772,2025-12-02 05:33:00,SELL,155.603,155.675,0.15952,155.51075,True,0.58,57.00000000001637,35,1782,TimeExit,-15.999999999991132,10,-28.07017543857287,1782,TimeExit,-15.999999999991132,10,-28.07017543857287,1822.0,TimeExit,-13.999999999981583,50.0,-24.561403508732564
1833,2025-12-02 06:34:00,BUY,155.651,155.573,0.15358,155.979,True,2.14,152.9999999999916,118,1843,TimeExit,-36.000000000001364,10,-23.52941176470807,1843,TimeExit,-36.000000000001364,10,-23.52941176470807,1863.0,TimeExit,-5.000000000023874,30.0,-3.2679738562249345
1894,2025-12-02 07:35:00,SELL,155.685,155.728,0.14671,155.51075,True,1.19,57.999999999992724,8,1924,TimeExit,0.0,30,0.0,1924,TimeExit,0.0,30,0.0,1924.0,TimeExit,0.0,30.0,0.0
1959,2025-12-02 08:40:00,BUY,155.76,155.72,0.15101,155.979,True,1.45,200.00000000001705,110,1972,TimeExit,-1.0000000000047748,13,-0.5000000000023448,1972,TimeExit,-1.0000000000047748,13,-0.5000000000023448,2025.0,TimeExit,-30.000000000001137,66.0,-14.99999999999929
2020,2025-12-02 09:41:00,BUY,155.792,155.765,0.14714,155.979,True,1.27,288.99999999998727,106,2022,StructBreak,-28.999999999996362,2,-10.03460207612375,2022,StructBreak,-28.999999999996362,2,-10.03460207612375,2022.0,StructBreak,-28.999999999996362,2.0,-10.03460207612375
2081,2025-12-02 10:42:00,BUY,155.963,155.851,0.15939,156.16699999999997,True,1.28,117.999999999995,45,2091,TimeExit,-19.99999999998181,10,-16.949152542358185,2091,TimeExit,-19.99999999998181,10,-16.949152542358185,2151.0,TimeExit,0.0,70.0,0.0
2146,2025-12-02 11:47:00,SELL,156.029,156.081,0.15881,155.51075,True,3.26,139.99999999998636,108,2179,TimeExit,-19.000000000005457,33,-13.571428571433792,2179,TimeExit,-19.000000000005457,33,-13.571428571433792,2179.0,TimeExit,-19.000000000005457,33.0,-13.571428571433792
2210,2025-12-02 12:51:00,SELL,156.019,156.043,0.1551,155.51075,True,3.28,129.99999999999545,44,2212,EMACross,-9.999999999990905,2,-7.692307692300965,2212,EMACross(FB),-9.999999999990905,2,-7.692307692300965,2336.0,TimeExit,-1.0000000000047748,126.0,-0.7692307692344691
2275,2025-12-02 13:56:00,BUY,155.923,155.896,0.15522,156.16699999999997,True,1.57,145.00000000001023,67,2285,TimeExit,-13.00000000000523,10,-8.965517241382285,2285,TimeExit,-13.00000000000523,10,-8.965517241382285,2470.0,SR_TP,243.99999999997135,195.0,168.2758620689339
2338,2025-12-02 14:59:00,BUY,156.005,155.931,0.15039,156.16699999999997,True,1.08,76.99999999999818,81,2378,EMACross,9.999999999990905,40,12.987012987001481,2378,EMACross(FB),9.999999999990905,40,12.987012987001481,2381.0,TimeExit,-7.000000000005002,43.0,-9.090909090915803
2399,2025-12-02 16:00:00,SELL,155.979,156.057,0.14624,155.51075,True,3.2,164.0000000000157,96,2407,EMACross,-61.9999999999834,8,-37.804878048766746,2407,EMACross(FB),-61.9999999999834,8,-37.804878048766746,2409.0,StructBreak,-88.99999999999864,10.0,-54.2682926829208
2460,2025-12-02 17:01:00,SELL,155.982,156.046,0.17487,155.51075,True,2.69,234.00000000000887,90,2466,StructBreak,-84.00000000000318,6,-35.8974358974359,2466,StructBreak,-84.00000000000318,6,-35.8974358974359,2466.0,StructBreak,-84.00000000000318,6.0,-35.8974358974359
2524,2025-12-02 18:05:00,SELL,155.881,155.954,0.18262,155.51075,True,2.03,133.00000000000978,26,2559,EMACross,19.000000000005457,35,14.285714285717338,2559,EMACross(FB),19.000000000005457,35,14.285714285717338,2565.0,TimeExit,-4.9999999999954525,41.0,-3.7593984962369063
2585,2025-12-02 19:06:00,BUY,155.952,155.858,0.18107,156.16699999999997,True,1.19,129.99999999999545,13,2613,EMACross,26.00000000001046,28,20.000000000008743,2613,EMACross(FB),26.00000000001046,28,20.000000000008743,2630.0,TimeExit,0.0,45.0,0.0
2646,2025-12-02 20:07:00,SELL,155.92,155.968,0.17133,155.51075,True,2.39,97.99999999998477,119,2656,TimeExit,-9.000000000014552,10,-9.183673469404031,2656,TimeExit,-9.000000000014552,10,-9.183673469404031,2674.0,StructBreak,-50.00000000001137,28.0,-51.020408163284834
2708,2025-12-02 21:09:00,SELL,155.946,156.014,0.16915,155.51075,True,2.57,146.99999999999136,101,2752,EMACross,18.000000000000682,44,12.244897959184858,2752,EMACross(FB),18.000000000000682,44,12.244897959184858,,DataEnd,,,
2769,2025-12-02 22:10:00,SELL,155.844,155.935,0.15953,155.51075,True,2.09,96.00000000000364,110,2779,TimeExit,-24.00000000000091,10,-25.0,2779,TimeExit,-24.00000000000091,10,-25.0,2799.0,TimeExit,-8.000000000009777,30.0,-8.333333333343202
