entry_idx,entry_dt,dir,entry_price,impulse_start,h1_atr,sr_target,sr_found,sr_dist_atr,oracle_pnl,oracle_bar,conv_exit_idx,conv_reason,conv_pnl,conv_bars,conv_efficiency,sr_exit_idx,sr_reason,sr_pnl,sr_bars,sr_efficiency,sro_exit_idx,sro_reason,sro_pnl,sro_bars,sro_efficiency
25,2025-09-01 01:25:00,BUY,3446.97,3442.0,10.24,3468.27,True,2.08,526.9999999999982,12,74,EMACross,176.00000000002183,49,33.39658444023196,74,EMACross(FB),176.00000000002183,49,33.39658444023196,79.0,TimeExit,-28.999999999996362,54.0,-5.502846299809575
86,2025-09-01 02:26:00,SELL,3446.96,3450.57,9.67333,0.0,False,0.0,1017.9999999999836,120,111,TimeExit,-13.000000000010914,25,-1.2770137524568883,111,TimeExit,-13.000000000010914,25,-1.2770137524568883,116.0,TimeExit,-115.0000000000091,30.0,-11.296660117879268
152,2025-09-01 03:32:00,BUY,3444.73,3442.47,9.12222,3468.27,True,2.58,2636.0000000000127,97,155,EMACross,-44.00000000000546,3,-1.669195751138287,155,EMACross(FB),-44.00000000000546,3,-1.669195751138287,182.0,TimeExit,-119.00000000000546,30.0,-4.514415781487287
216,2025-09-01 04:36:00,BUY,3440.29,3436.78,10.90059,3468.27,True,2.57,4557.000000000016,86,312,EMACross,3126.999999999998,96,68.6197059468946,248,SR_TP,2798.000000000002,32,61.40004388852297,248.0,SR_TP,2798.000000000002,32.0,61.40004388852297
277,2025-09-01 05:37:00,BUY,3469.96,3456.23,13.40718,3489.78,True,1.48,1590.000000000009,25,312,EMACross,159.9999999999909,35,10.062893081760377,312,EMACross(FB),159.9999999999909,35,10.062893081760377,520.0,SR_TP,1982.0000000000164,243.0,124.6540880503148
343,2025-09-01 06:43:00,BUY,3473.59,3469.36,13.81956,3489.78,True,1.17,919.9999999999818,113,388,TimeExit,-66.00000000003092,45,-7.173913043481764,388,TimeExit,-66.00000000003092,45,-7.173913043481764,388.0,TimeExit,-66.00000000003092,45.0,-7.173913043481764
405,2025-09-01 07:45:00,SELL,3474.73,3479.43,12.96095,0.0,False,0.0,51.99999999999818,30,413,TimeExit,-34.00000000001455,8,-65.38461538464566,413,TimeExit,-34.00000000001455,8,-65.38461538464566,435.0,TimeExit,-25.0,30.0,-48.07692307692476
470,2025-09-01 08:50:00,BUY,3479.71,3474.53,12.37682,3489.78,True,0.81,1007.0000000000164,50,478,TimeExit,-111.00000000001273,8,-11.022840119166924,478,TimeExit,-111.00000000001273,8,-11.022840119166924,520.0,SR_TP,1007.0000000000164,50.0,100.0
531,2025-09-01 09:51:00,BUY,3486.16,3483.13,12.49858,3509.6800000000003,True,1.88,1.0000000000218279,1,536,EMACross,-221.00000000000364,5,-22099.999999517968,536,EMACross(FB),-221.00000000000364,5,-22099.999999517968,538.0,StructBreak,-512.9999999999654,7.0,-51299.999998876774
592,2025-09-01 10:52:00,BUY,3474.98,3467.71,12.57344,3489.78,True,1.18,478.00000000002,28,608,TimeExit,-49.00000000002365,16,-10.25104602510912,608,TimeExit,-49.00000000002365,16,-10.25104602510912,662.0,TimeExit,-24.000000000023647,70.0,-5.0209205020967875
