<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.13	00:00:00	159.295	159.392	159.295	159.392	39	0	24
2026.03.13	00:01:00	159.392	159.395	159.359	159.360	31	0	8
2026.03.13	00:02:00	159.360	159.396	159.352	159.395	16	0	24
2026.03.13	00:03:00	159.394	159.408	159.394	159.408	13	0	16
2026.03.13	00:04:00	159.408	159.415	159.400	159.411	17	0	14
2026.03.13	00:05:00	159.411	159.412	159.358	159.370	36	0	11
2026.03.13	00:06:00	159.371	159.376	159.354	159.354	32	0	13
2026.03.13	00:07:00	159.357	159.363	159.352	159.355	12	0	17
2026.03.13	00:08:00	159.354	159.359	159.354	159.359	7	0	19
2026.03.13	00:09:00	159.359	159.366	159.345	159.355	19	0	17
2026.03.13	00:10:00	159.355	159.358	159.341	159.347	14	0	13
2026.03.13	00:11:00	159.347	159.349	159.331	159.331	11	0	18
2026.03.13	00:12:00	159.331	159.333	159.311	159.317	34	0	17
2026.03.13	00:13:00	159.317	159.317	159.311	159.314	19	0	19
2026.03.13	00:14:00	159.313	159.337	159.312	159.337	10	0	16
2026.03.13	00:15:00	159.337	159.352	159.337	159.338	12	0	18
2026.03.13	00:16:00	159.337	159.340	159.329	159.340	14	0	17
2026.03.13	00:17:00	159.339	159.342	159.337	159.340	19	0	18
2026.03.13	00:18:00	159.340	159.340	159.304	159.308	23	0	11
2026.03.13	00:19:00	159.309	159.315	159.303	159.305	24	0	13
2026.03.13	00:20:00	159.305	159.305	159.303	159.304	4	0	16
2026.03.13	00:21:00	159.305	159.305	159.304	159.305	3	0	19
2026.03.13	00:22:00	159.304	159.305	159.293	159.297	15	0	16
2026.03.13	00:23:00	159.297	159.307	159.296	159.306	7	0	18
2026.03.13	00:24:00	159.307	159.307	159.302	159.303	11	0	20
2026.03.13	00:25:00	159.303	159.305	159.282	159.282	18	0	19
2026.03.13	00:26:00	159.282	159.302	159.281	159.302	10	0	15
2026.03.13	00:27:00	159.302	159.304	159.302	159.303	10	0	19
2026.03.13	00:28:00	159.300	159.302	159.289	159.290	12	0	13
2026.03.13	00:29:00	159.290	159.291	159.290	159.291	4	0	17
2026.03.13	00:30:00	159.285	159.291	159.285	159.290	64	0	16
2026.03.13	00:31:00	159.289	159.290	159.277	159.283	101	0	13
2026.03.13	00:32:00	159.281	159.285	159.275	159.277	195	0	17
2026.03.13	00:33:00	159.277	159.294	159.258	159.289	88	0	14
2026.03.13	00:34:00	159.290	159.291	159.279	159.288	277	0	16
2026.03.13	00:35:00	159.287	159.289	159.280	159.287	302	0	12
2026.03.13	00:36:00	159.287	159.288	159.270	159.270	53	0	14
2026.03.13	00:37:00	159.269	159.284	159.266	159.282	43	0	13
2026.03.13	00:38:00	159.283	159.296	159.271	159.296	54	0	13
2026.03.13	00:39:00	159.295	159.298	159.280	159.281	189	0	13
2026.03.13	00:40:00	159.280	159.280	159.258	159.259	167	0	14
2026.03.13	00:41:00	159.260	159.262	159.246	159.247	107	0	15
2026.03.13	00:42:00	159.247	159.255	159.246	159.255	28	0	15
2026.03.13	00:43:00	159.255	159.257	159.252	159.256	14	0	15
2026.03.13	00:44:00	159.256	159.256	159.253	159.255	15	0	15
2026.03.13	00:45:00	159.257	159.281	159.257	159.280	33	0	16
2026.03.13	00:46:00	159.281	159.291	159.278	159.291	100	0	16
2026.03.13	00:47:00	159.292	159.303	159.289	159.290	98	0	15
2026.03.13	00:48:00	159.290	159.305	159.289	159.305	129	0	15
2026.03.13	00:49:00	159.304	159.309	159.292	159.305	167	0	8
2026.03.13	00:50:00	159.305	159.305	159.296	159.296	95	0	16
2026.03.13	00:51:00	159.297	159.297	159.279	159.282	65	0	18
2026.03.13	00:52:00	159.284	159.286	159.282	159.283	321	0	19
2026.03.13	00:53:00	159.282	159.287	159.282	159.285	339	0	19
2026.03.13	00:54:00	159.284	159.290	159.284	159.288	303	0	16
2026.03.13	00:55:00	159.288	159.289	159.285	159.288	435	0	15
2026.03.13	00:56:00	159.286	159.300	159.285	159.290	351	0	14
2026.03.13	00:57:00	159.289	159.295	159.289	159.293	248	0	14
2026.03.13	00:58:00	159.292	159.294	159.277	159.279	183	0	13
2026.03.13	00:59:00	159.279	159.280	159.260	159.261	163	0	12
2026.03.13	01:00:00	159.263	159.292	159.262	159.291	125	0	12
2026.03.13	01:01:00	159.291	159.307	159.290	159.304	181	0	12
2026.03.13	01:02:00	159.303	159.303	159.285	159.291	174	0	12
2026.03.13	01:03:00	159.292	159.293	159.278	159.290	159	0	13
2026.03.13	01:04:00	159.290	159.300	159.284	159.286	168	0	13
2026.03.13	01:05:00	159.286	159.291	159.283	159.285	313	0	14
2026.03.13	01:06:00	159.286	159.298	159.281	159.297	108	0	13
2026.03.13	01:07:00	159.297	159.304	159.289	159.302	145	0	13
2026.03.13	01:08:00	159.303	159.303	159.291	159.299	138	0	14
2026.03.13	01:09:00	159.299	159.300	159.286	159.289	94	0	15
2026.03.13	01:10:00	159.290	159.299	159.287	159.294	32	0	14
2026.03.13	01:11:00	159.294	159.303	159.292	159.300	43	0	12
2026.03.13	01:12:00	159.301	159.301	159.289	159.289	34	0	14
2026.03.13	01:13:00	159.289	159.295	159.288	159.294	41	0	14
2026.03.13	01:14:00	159.294	159.313	159.294	159.305	26	0	13
2026.03.13	01:15:00	159.311	159.317	159.307	159.316	18	0	13
2026.03.13	01:16:00	159.318	159.327	159.316	159.317	26	0	12
2026.03.13	01:17:00	159.317	159.321	159.316	159.320	31	0	11
2026.03.13	01:18:00	159.320	159.329	159.319	159.329	22	0	11
2026.03.13	01:19:00	159.329	159.335	159.329	159.331	57	0	11
2026.03.13	01:20:00	159.331	159.331	159.326	159.329	5	0	13
2026.03.13	01:21:00	159.328	159.332	159.319	159.332	20	0	12
2026.03.13	01:22:00	159.331	159.332	159.331	159.331	5	0	14
2026.03.13	01:23:00	159.330	159.345	159.324	159.341	43	0	12
2026.03.13	01:24:00	159.341	159.344	159.338	159.344	22	0	13
2026.03.13	01:25:00	159.345	159.357	159.345	159.356	9	0	16
2026.03.13	01:26:00	159.355	159.356	159.340	159.342	27	0	13
2026.03.13	01:27:00	159.341	159.343	159.333	159.342	33	0	10
2026.03.13	01:28:00	159.341	159.341	159.331	159.331	22	0	12
2026.03.13	01:29:00	159.330	159.331	159.317	159.318	37	0	8
2026.03.13	01:30:00	159.317	159.318	159.310	159.310	44	0	12
2026.03.13	01:31:00	159.309	159.316	159.304	159.304	20	0	8
2026.03.13	01:32:00	159.304	159.305	159.289	159.297	84	0	11
2026.03.13	01:33:00	159.298	159.315	159.295	159.314	40	0	8
