market,method,ma_period,htf,band_mult,trades,win_rate,avg_rr,total_r,max_dd_r,profit_factor,tp,sl,timeout,avg_hold_bars,confirms
GOLD,Fib500,0,M1,0.05,11,36.36363636363637,0.09090909090909091,1.0,4.0,1.1428571428571428,4,7,0,5.7272727272727275,"{'wick_reject': {'trades': 11, 'wins': 4, 'total_r': np.float64(1.0)}}"
GOLD,EMA13,13,M5,0.2,106,38.67924528301887,0.17795787143428593,18.86353437203431,7.0,1.2987739998496033,41,63,2,34.41509433962264,"{'close_bounce': {'trades': 75, 'wins': 33, 'total_r': np.float64(24.922730989370407)}, 'wick_reject': {'trades': 31, 'wins': 8, 'total_r': np.float64(-6.059196617336098)}}"
GOLD,EMA13,13,M5,0.3,108,38.88888888888889,0.18392161455587322,19.86353437203431,8.0,1.3097073432024782,42,64,2,33.175925925925924,"{'close_bounce': {'trades': 77, 'wins': 31, 'total_r': np.float64(16.922730989370407)}, 'wick_reject': {'trades': 31, 'wins': 11, 'total_r': np.float64(2.9408033826639013)}}"
GOLD,EMA13,13,M5,0.5,112,32.142857142857146,-0.03256065800008404,-3.6467936960094125,16.0,0.9508097173891471,35,74,3,33.125,"{'close_bounce': {'trades': 77, 'wins': 23, 'total_r': np.float64(-8.587597078673314)}, 'wick_reject': {'trades': 35, 'wins': 13, 'total_r': np.float64(4.940803382663901)}}"
GOLD,EMA13,13,M15,0.2,71,49.29577464788733,0.3942647471009435,27.992797044166988,7.0,1.7775776956713054,31,36,4,77.80281690140845,"{'close_bounce': {'trades': 50, 'wins': 28, 'total_r': np.float64(27.992797044166988)}, 'wick_reject': {'trades': 21, 'wins': 7, 'total_r': np.float64(0.0)}}"
GOLD,EMA13,13,M15,0.3,74,47.2972972972973,0.3306185447966209,24.465772314949948,9.82998171846436,1.6273274952551269,31,39,4,82.12162162162163,"{'close_bounce': {'trades': 53, 'wins': 28, 'total_r': np.float64(24.465772314949948)}, 'wick_reject': {'trades': 21, 'wins': 7, 'total_r': np.float64(0.0)}}"
GOLD,EMA13,13,M15,0.5,84,48.80952380952381,0.397356841617885,33.37797469590234,9.087797619047606,1.79305586379261,37,42,5,81.36904761904762,"{'close_bounce': {'trades': 57, 'wins': 33, 'total_r': np.float64(36.377974695902346)}, 'wick_reject': {'trades': 27, 'wins': 8, 'total_r': np.float64(-3.0)}}"
GOLD,EMA21,21,M5,0.2,89,38.20224719101123,0.16700600418016076,14.863534372034309,12.0,1.2797238054202016,34,53,2,33.831460674157306,"{'wick_reject': {'trades': 28, 'wins': 9, 'total_r': np.float64(-0.05919661733609782)}, 'close_bounce': {'trades': 61, 'wins': 25, 'total_r': np.float64(14.922730989370406)}}"
GOLD,EMA21,21,M5,0.3,93,39.784946236559136,0.2135863910971431,19.86353437203431,10.0,1.366915980598727,37,54,2,35.55913978494624,"{'wick_reject': {'trades': 31, 'wins': 11, 'total_r': np.float64(2.9408033826639013)}, 'close_bounce': {'trades': 62, 'wins': 26, 'total_r': np.float64(16.922730989370407)}}"
GOLD,EMA21,21,M5,0.5,97,38.144329896907216,0.16354159146427122,15.863534372034309,10.0,1.2728671961854419,37,58,2,35.51546391752577,"{'wick_reject': {'trades': 34, 'wins': 13, 'total_r': np.float64(5.940803382663901)}, 'close_bounce': {'trades': 63, 'wins': 24, 'total_r': np.float64(9.922730989370406)}}"
