entry_idx,entry_dt,dir,entry_price,impulse_start,h1_atr,sr_target,sr_found,sr_dist_atr,oracle_pnl,oracle_bar,conv_exit_idx,conv_reason,conv_pnl,conv_bars,conv_efficiency,sr_exit_idx,sr_reason,sr_pnl,sr_bars,sr_efficiency,sro_exit_idx,sro_reason,sro_pnl,sro_bars,sro_efficiency
31,2025-12-01 00:31:00,SELL,91138.1,91331.5,303.9,90862.85,True,0.91,2939.7000000000116,120,42,TimeExit,-34.79999999998836,11,-1.1837942647204893,42,TimeExit,-34.79999999998836,11,-1.1837942647204893,61.0,TimeExit,-86.0,30.0,-2.925468585229774
92,2025-12-01 01:32:00,SELL,90595.6,90996.6,386.87333,90262.6,True,0.86,3675.600000000006,88,98,TimeExit,-17.09999999999127,6,-0.4652301665031897,98,TimeExit,-17.09999999999127,6,-0.4652301665031897,122.0,SR_TP,333.0,30.0,9.059745347698321
153,2025-12-01 02:33:00,SELL,87917.1,89112.0,794.73022,87338.0,True,0.73,997.1000000000058,27,161,TimeExit,-210.1999999999971,8,-21.081135292347394,161,TimeExit,-210.1999999999971,8,-21.081135292347394,171.0,SR_TP,579.1000000000058,18.0,58.07842743957501
220,2025-12-01 03:40:00,SELL,87367.2,87592.6,797.31286,83810.8,True,4.46,1204.5,119,227,TimeExit,-68.80000000000291,7,-5.7119136571193785,227,TimeExit,-68.80000000000291,7,-5.7119136571193785,252.0,TimeExit,-93.0,32.0,-7.721046077210461
281,2025-12-01 04:41:00,SELL,86895.7,87269.1,827.51114,83810.8,True,3.73,1206.8999999999942,109,446,EMACross,964.5999999999913,165,79.92377164636638,446,EMACross(FB),964.5999999999913,165,79.92377164636638,661.0,TimeExit,-1.4000000000087311,380.0,-0.1159996685730995
342,2025-12-01 05:42:00,SELL,86425.3,86573.0,803.68299,83810.8,True,3.25,825.1000000000058,86,446,EMACross,494.1999999999971,104,59.895770209670786,446,EMACross(FB),494.1999999999971,104,59.895770209670786,578.0,TimeExit,-5.399999999994179,236.0,-0.6544661253174332
407,2025-12-01 06:47:00,BUY,85889.1,85688.8,785.49859,87338.0,True,1.84,419.59999999999127,120,413,TimeExit,-107.30000000000291,6,-25.571973307913527,413,TimeExit,-107.30000000000291,6,-25.571973307913527,428.0,StructBreak,-232.3000000000029,21.0,-55.362249761679635
475,2025-12-01 07:55:00,BUY,85943.5,85640.8,734.69878,87338.0,True,1.9,609.3000000000029,111,505,EMACross,132.3000000000029,30,21.713441654357833,505,EMACross(FB),132.3000000000029,30,21.713441654357833,851.0,TimeExit,-43.10000000000582,376.0,-7.073691120959398
536,2025-12-01 08:56:00,BUY,86290.6,86077.9,688.24561,87338.0,True,1.52,559.7999999999884,120,542,TimeExit,-26.0,6,-4.644515898535287,542,TimeExit,-26.0,6,-4.644515898535287,548.0,StructBreak,-212.75,12.0,-38.00464451589933
597,2025-12-01 09:57:00,BUY,86515.4,86298.8,665.43953,87338.0,True,1.24,410.0,65,603,TimeExit,-82.89999999999418,6,-20.219512195120533,603,TimeExit,-82.89999999999418,6,-20.219512195120533,632.0,TimeExit,-7.0,35.0,-1.707317073170732
658,2025-12-01 10:58:00,BUY,86837.8,86633.5,642.88759,87338.0,True,0.78,87.59999999999127,4,664,TimeExit,-56.19999999999709,6,-64.15525114155558,664,TimeExit,-56.19999999999709,6,-64.15525114155558,673.0,StructBreak,-234.5,15.0,-267.6940639269673
737,2025-12-01 12:17:00,SELL,86624.8,86805.5,566.4409,83810.8,True,4.97,836.0,115,743,TimeExit,-12.099999999991269,6,-1.4473684210515874,743,TimeExit,-12.099999999991269,6,-1.4473684210515874,767.0,TimeExit,-50.39999999999418,30.0,-6.0287081339705955
798,2025-12-01 13:18:00,SELL,86438.7,86691.45,567.80212,83810.8,True,4.63,1706.199999999997,92,804,TimeExit,-0.3000000000029104,6,-0.017582932833367183,804,TimeExit,-0.3000000000029104,6,-0.017582932833367183,996.0,TimeExit,-93.10000000000582,198.0,-5.456570155902355
859,2025-12-01 14:19:00,SELL,85886.4,86210.0,689.09517,83810.8,True,3.01,1153.8999999999942,31,865,TimeExit,-69.80000000000291,6,-6.049051044284883,865,TimeExit,-69.80000000000291,6,-6.049051044284883,903.0,TimeExit,-147.70000000001164,44.0,-12.800069330099001
920,2025-12-01 15:20:00,BUY,86038.7,85333.8,703.96248,87338.0,True,1.85,623.9000000000087,77,926,TimeExit,-13.69999999999709,6,-2.1958647219100653,926,TimeExit,-13.69999999999709,6,-2.1958647219100653,950.0,TimeExit,-242.39999999999418,30.0,-38.852380189131395
989,2025-12-01 16:29:00,BUY,86233.8,85945.6,717.74081,87338.0,True,1.54,428.8000000000029,8,991,StructBreak,-301.8000000000029,2,-70.38246268656737,991,StructBreak,-301.8000000000029,2,-70.38246268656737,991.0,StructBreak,-301.8000000000029,2.0,-70.38246268656737
