entry_idx,entry_dt,dir,entry_price,oracle_pnl,H1_sr_target,H1_sr_found,H1_sr_dist_atr,H1_htf_atr,conv_reason,conv_pnl,conv_bars,H1_reason,H1_pnl,H1_bars,M15_sr_target,M15_sr_found,M15_sr_dist_atr,M15_htf_atr,M15_reason,M15_pnl,M15_bars
25,2025-09-01 01:25:00,BUY,3446.97,526.9999999999982,3468.27,True,2.08,10.24,EMACross,176.00000000002183,49,EMACross(FB),176.00000000002183,49,3473.31953125,True,4.46,5.90867,EMACross(FB),176.00000000002183,49
86,2025-09-01 02:26:00,SELL,3446.96,1017.9999999999836,0.0,False,0.0,9.67333,TimeExit,-13.000000000010914,25,TimeExit,-13.000000000010914,25,0.0,False,0.0,4.51634,TimeExit,-13.000000000010914,25
152,2025-09-01 03:32:00,BUY,3444.73,2636.0000000000127,3468.27,True,2.58,9.12222,EMACross,-44.00000000000546,3,EMACross(FB),-44.00000000000546,3,3473.31953125,True,7.13,4.00933,EMACross(FB),-44.00000000000546,3
216,2025-09-01 04:36:00,BUY,3440.29,4557.000000000016,3468.27,True,2.57,10.90059,EMACross,3126.999999999998,96,SR_TP,2798.000000000002,32,3473.31953125,True,7.06,4.67668,SR_TP,3302.953125000022,65
277,2025-09-01 05:37:00,BUY,3469.96,1590.000000000009,3489.78,True,1.48,13.40718,EMACross,159.9999999999909,35,EMACross(FB),159.9999999999909,35,3481.31,True,1.34,8.45908,SR_TP,1134.999999999991,20
343,2025-09-01 06:43:00,BUY,3473.59,919.9999999999818,3489.78,True,1.17,13.81956,TimeExit,-66.00000000003092,45,TimeExit,-66.00000000003092,45,3481.31,True,0.88,8.75267,TimeExit,-66.00000000003092,45
405,2025-09-01 07:45:00,SELL,3474.73,51.99999999999818,0.0,False,0.0,12.96095,TimeExit,-34.00000000001455,8,TimeExit,-34.00000000001455,8,0.0,False,0.0,5.91593,TimeExit,-34.00000000001455,8
470,2025-09-01 08:50:00,BUY,3479.71,1007.0000000000164,3489.78,True,0.81,12.37682,TimeExit,-111.00000000001273,8,TimeExit,-111.00000000001273,8,3485.86,True,1.07,5.7423,TimeExit,-111.00000000001273,8
531,2025-09-01 09:51:00,BUY,3486.16,1.0000000000218279,3509.6800000000003,True,1.88,12.49858,EMACross,-221.00000000000364,5,EMACross(FB),-221.00000000000364,5,3489.78,True,0.56,6.41276,EMACross(FB),-221.00000000000364,5
592,2025-09-01 10:52:00,BUY,3474.98,478.00000000002,3489.78,True,1.18,12.57344,TimeExit,-49.00000000002365,16,TimeExit,-49.00000000002365,16,3481.31,True,1.01,6.26945,TimeExit,-49.00000000002365,16
656,2025-09-01 11:56:00,SELL,3476.84,1050.0,3468.27,True,0.74,11.60364,EMACross,367.0000000000073,74,SR_TP,857.0000000000164,58,3473.31953125,True,0.7,5.0259,SR_TP,352.04687499999636,13
717,2025-09-01 12:57:00,SELL,3469.15,280.99999999999454,0.0,False,0.0,11.37116,TimeExit,-48.00000000000182,10,TimeExit,-48.00000000000182,10,0.0,False,0.0,4.49895,TimeExit,-48.00000000000182,10
812,2025-09-01 14:32:00,BUY,3471.35,738.9999999999873,3489.78,True,1.81,10.20109,TimeExit,0.0,9,TimeExit,0.0,9,3473.31953125,True,0.51,3.88588,SR_TP,196.95312500002728,4
885,2025-09-01 15:45:00,BUY,3469.84,1146.99999999998,3489.78,True,2.11,9.46228,TimeExit,-12.00000000003456,12,TimeExit,-12.00000000003456,12,3473.31953125,True,1.01,3.44189,TimeExit,-12.00000000003456,12
958,2025-09-01 16:58:00,SELL,3476.05,272.00000000002547,3468.27,True,0.81,9.57798,TimeExit,-53.99999999999636,13,TimeExit,-53.99999999999636,13,3473.31953125,True,0.68,3.99313,TimeExit,-53.99999999999636,13
1019,2025-09-01 17:59:00,SELL,3475.65,336.9999999999891,3468.27,True,0.79,9.33958,EMACross,-130.99999999999454,4,EMACross(FB),-130.99999999999454,4,3473.31953125,True,0.54,4.27949,EMACross(FB),-130.99999999999454,4
1080,2025-09-01 19:00:00,SELL,3473.65,136.9999999999891,3468.27,True,0.64,8.41337,TimeExit,-9.999999999990905,13,TimeExit,-9.999999999990905,13,0.0,False,0.0,3.49796,TimeExit,-9.999999999990905,13
1141,2025-09-01 20:01:00,BUY,3477.4,228.99999999999636,3489.78,True,1.62,7.66359,TimeExit,-24.000000000023647,8,TimeExit,-24.000000000023647,8,3481.31,True,1.44,2.7165,TimeExit,-24.000000000023647,8
1202,2025-09-01 21:02:00,SELL,3476.82,271.00000000000364,3468.27,True,1.24,6.88844,TimeExit,-33.99999999996908,16,TimeExit,-33.99999999996908,16,3473.31953125,True,1.64,2.13041,TimeExit,-33.99999999996908,16
